Generation: 12 | maxFitness: 0,3658777 | maxFitnessGen: 0,2590763 | maxFitnessGenBuf: 0,3658777
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
27|RandomParents|0,08603987|-1,130326;-1,602261;4,782792;2,347363;-0,6030976;-1,68771;2,006921;2,293676;3,18354;-4,51625;2,329993;0,1402348;-5,09552;-2,400655;0,1324021;-1,699595;3,267385;-3,372156;-0,7068402;3,082017;0,3700752;-3,178906;1,624852;2,368063;-2,282477;1,46878;3,523444;-1,620275;-4,295515
28|RandomParents|0,08118262|-0,1363493;1,087924;4,556607;-2,131921;3,539809;1,015397;0,01845225;-5,862227;3,695009;-1,845457;3,316453;-3,779934;0,2903143;-4,061754;2,929517;0,6580231;0,9804709;-1,3172;0,3289682;-1,307209;2,955272;5,068479;-1,697316;-1,343539;-2,815063;2,500362;-4,240294;-4,420267;-1,062641
29|RandomParents|0,08066347|-1,340575;4,433585;-3,847345;0,7496392;-1,336317;3,461659;2,094962;-3,713993;2,945513;-1,37753;1,129297;-3,242697;-3,663986;3,349528;0,4777975;-3,201757;-2,718194;0,2002257;-0,4524615;-0,1836694;3,852047;-0,4949051;-0,4009994;2,661916;-2,460442;-2,403913;3,939994;3,602118;-4,532282
30|RandomParents|0,07953893|0,2251555;0,8405172;4,794003;-1,845824;3,175258;1,30169;0,02171501;-5,435311;3,505119;-1,845457;3,510599;-3,789693;-0,04595247;-4,127109;3,052574;0,8293844;1,683052;-1,453622;0,5338773;-1,575746;2,814428;4,157096;-1,362165;-0,3694182;-2,695825;3,336475;-3,743953;-4,85007;-1,05533
31|RandomParents|0,07944734|-0,1363493;1,087924;4,974615;-2,238416;3,992959;1,015397;-0,0835577;-5,934655;3,350182;-2,124685;3,316453;-3,66207;0,2903143;-4,315285;2,929517;0,6580231;0,8918618;-1,342303;0,2138324;-1,08398;3,419676;4,694067;-1,697316;-0,8833848;-2,373088;2,541849;-4,397783;-4,735104;-1,05533
32|RandomParents|0,07800373|-0,6360083;-1,761161;5,272938;2,347363;-0,7670348;-1,535909;1,570074;1,928433;2,927083;-4,51625;2,447018;-0,2715758;-4,778082;-2,655864;0,1324021;-1,699595;4,060912;-3,372156;-1,047857;3,082017;0,3700752;-2,847699;1,624852;2,287629;-2,282477;1,690709;3,254879;-1,620275;-4,334153
33|RandomParents|0,0779494|-2,647727;4,741659;-4,194205;1,212051;-2,390851;1,929723;0,9161203;-3,47819;2,14131;-0,2086979;0,8076112;-2,38085;-4,846492;3,124052;0,3453528;-3,286627;-2,66572;-0,01844828;-0,2092795;-0,1991563;3,09995;-0,9324238;0,7319949;1,997131;-2,251347;-2,043043;3,744573;4,969928;-4,481761
34|RandomParents|0,07547192|-0,985796;1,83248;3,870488;-3,676609;0,3323455;-2,023156;-3,626374;0,9074216;-3,318501;-0,04558134;4,212057;-0,2673585;2,159671;-0,3562743;-1,094579;-4,214811;-0,9649858;-1,527331;1,919132;-2,799469;0,7643859;-2,923253;4,216899;3,409007;-0,4793457;-4,202488;-2,088709;-1,985388;1,184604
35|RandomParents|0,07527032|-0,1363493;0,9901679;4,379412;-2,219431;3,539809;1,015397;-0,0835577;-5,862227;3,695009;-1,991886;3,316453;-3,977594;0,7475001;-4,173364;2,929517;0,7455552;1,316861;-1,342303;0,4091753;-1,08398;3,121443;4,694067;-1,697316;-1,041655;-2,815063;2,951036;-4,009021;-5,056823;-1,17323
36|RandomParents|0,0475225|-4,685134;3,826922;2,044738;4,146652;-1,492143;5,28806;-3,356689;-0,1784926;0,8795519;-2,803764;-0,8675606;3,341324;2,76404;-3,694472;-2,803267;-3,140421;-3,088233;-2,73199;-1,893097;-3,823763;0,5203305;-0,07038629;-1,067119;2,972444;5,454151;-3,622014;0,4504552;-5,032476;-1,184824
37|RandomParents|0,03170857|-4,739118;4,041334;1,738906;4,445338;-1,428468;5,28806;-3,548895;-0,6599092;0,8875176;-2,803764;-1,217855;3,341324;2,708253;-3,694472;-2,406173;-2,813527;-3,465818;-2,671526;-1,726493;-3,823763;0,9327892;0,3153383;-1,314761;3,498749;5,1528;-3,983176;0,241392;-4,683164;-0,2867084
38|RandomParents|0,02443873|-4,353457;3,904236;2,173176;4,445338;-1,428468;5,28806;-3,548895;-0,6599092;0,8795519;-2,344818;-1,39157;3,341324;2,76404;-3,694472;-2,406173;-2,697341;-3,088233;-2,671526;-1,583047;-3,823763;0,695201;-0,07038629;-1,314761;3,23961;5,406388;-4,348058;0,4445357;-5,032476;-0,7250493
