Generation: 30 | maxFitness: 0,6101888 | maxFitnessGen: 0,2480929 | maxFitnessGenBuf: 0,2549421
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
27|TOP2|0,1867577|2,8003;-1,037417;-4,572471;-4,396547;-3,647899;6,027563;-4,298273;-4,431607;0,06314082;-0,01104063;-3,991581;-0,5497578;0,7502293;-0,05330518;6,097754;-0,4667701;3,359385;2,687537;-0,06905392;-1,912052;4,650669;-3,254957;2,359013;2,363426;-2,427544;3,804934;-5,535447;-2,196392;5,087088
28|TOP2|0,1852035|2,90305;-1,037417;-4,759192;-4,817389;-3,813421;5,742154;-4,511625;-5,185448;0,3409519;0,0764478;-3,590848;-0,5057204;0,7502293;0,1469939;6,065027;-0,5920287;3,314111;2,827906;0,8363106;-1,912052;4,790928;-3,404075;2,359013;2,363426;-2,427544;4,057137;-6,039113;-2,457829;5,132555
29|TOP2|0,1851641|2,77582;-1,5052;-4,759192;-4,396547;-3,524524;5,534549;-4,620687;-4,841764;0,06314082;-0,2351859;-3,779289;-0,5497578;0,7502293;0,1469939;6,100031;-0,5920287;3,519903;2,557212;0,3420939;-2,01161;4,748064;-3,404075;2,006914;2,238133;-2,427544;3,804934;-6,067699;-2,626411;5,245595
30|TOP2|0,1836087|2,482994;-1,037417;-4,759192;-4,167242;-4,191696;5,534549;-4,269979;-4,403921;0,06314082;-0,3547382;-3,779289;-0,5497578;0,5684364;0,1469939;6,096348;-0,1314029;3,690442;2,557212;0,3975834;-1,912052;4,865002;-3,806435;2,359013;1,918907;-2,771218;3,736103;-5,747942;-2,196392;5,087088
31|TOP2|0,1786109|3,004856;-1,037417;-5,038426;-4,847266;-3,813421;5,197977;-4,659239;-4,841764;0,06314082;-0,2351859;-3,779289;-0,1576266;0,7502293;0,1469939;6,096348;-0,1092181;3,323118;2,800354;-0,114041;-1,912052;5,063643;-3,404075;2,474595;2,363426;-2,427544;3,804934;-5,775708;-2,196392;5,08863
32|TOP2|0,1731664|2,663687;-0,6485784;-4,528205;-4,396547;-3,813421;5,686809;-4,42532;-4,841764;0,08148862;-0,489557;-3,779289;-0,5930417;0,7502293;0,1469939;6,433683;-0,5920287;3,519903;2,557212;0,2598031;-1,767462;4,993883;-3,404075;2,359013;2,711908;-2,858349;4,080294;-5,838832;-2,258996;5,502437
33|TOP2|0,171286|2,553889;-1,037417;-4,759192;-4,396547;-3,813421;5,626844;-4,208507;-4,841764;0,06314082;-0,2351859;-3,779289;-0,7121831;1,006683;0,2442487;6,371598;-0,3857514;3,519903;2,557212;0,1600353;-2,053847;4,650669;-3,404075;2,359013;2,363426;-2,427544;3,710558;-5,439225;-2,196392;5,261441
34|TOP2|0,1709075|2,663687;-1,037417;-4,459463;-4,510186;-3,813421;5,534549;-4,541979;-4,841764;0,06314082;-0,6374432;-3,779289;-0,07899755;1,210913;0,2324559;6,122313;-0,5920287;3,357531;2,684095;0,3420939;-1,567746;4,650669;-3,404075;2,83036;2,363426;-2,610277;3,695224;-5,747942;-2,441306;5,087088
35|TOP2|0,1703594|2,663687;-1,037417;-4,759192;-4,106643;-3,813421;5,534549;-4,105278;-4,841764;0,06314082;0,2055745;-3,728724;-0,5497578;0,7502293;0,5762378;6,51934;-0,5920287;3,519903;2,844711;0,2186641;-1,912052;4,680896;-3,716139;2,359013;2,363426;-2,703482;3,93956;-5,912617;-2,196392;5,087088
36|TOP2|0,1655496|2,663687;-1,037417;-4,752961;-4,396547;-3,813421;5,772323;-4,178102;-4,841764;0,4872488;-0,2351859;-3,674431;-0,5497578;0,7502293;0,5856639;6,033001;-0,2808194;3,982445;2,482671;-0,06047586;-1,641386;4,794299;-3,610915;2,359013;2,363426;-2,427544;3,804934;-6,022309;-1,914792;4,752838
37|TOP2|0,1637379|2,414629;-1,037417;-4,696471;-3,914635;-3,813421;5,534549;-4,42532;-4,740892;-0,1949126;-0,2351859;-3,586546;-0,347998;1,01708;0,1469939;6,096348;-0,7263066;3,269037;2,557212;0,2623803;-2,200185;4,505732;-3,404075;2,359013;2,363426;-2,831206;3,804934;-6,094767;-2,414254;4,717185
38|TOP2|0,1623584|2,663687;-1,037417;-4,478286;-4,210264;-3,447444;5,534549;-3,975062;-4,894455;0,06314082;0,2402745;-3,779289;-0,4585505;0,7502293;0,3632185;6,096348;-0,5920287;3,519903;2,601301;0,3760425;-1,869411;4,97037;-3,404075;2,359013;2,646714;-2,427544;3,804934;-5,976862;-2,338592;5,087088
39|TOP2|0,1607692|2,99254;-1,194295;-5,082445;-4,396547;-4,030295;6,013008;-4,494084;-4,841764;0,06314082;-0,647611;-3,69985;-0,5946389;0,8681804;-0,1016366;6,096348;-0,5920287;3,769512;2,637352;0,3420939;-1,912052;4,650669;-3,404075;2,359013;2,845839;-2,427544;3,804934;-5,451805;-2,196392;5,213698
