Generation: 1 | maxFitness: 0,2588646 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2588646
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 89 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
7|TOP2|0,08976341|-0,3735394;0,7139368;2,201236;1,690757;0,5411763;3,791088;3,536299;2,014201;-3,207121;4,272663;2,352666;4,261336;-4,156273;-4,427768;3,698936;1,852518;-3,663824;-0,7232122;-4,508802;-1,707292;4,192624;0,6630449;4,760255;-4,557122;2,752572;-0,31529;-2,213097;-0,3288932;-3,885197
8|TOP2|0,07933664|-3,376549;0,5243487;-1,354468;-3,404783;1,513269;3,345519;-2,399605;2,863907;-0,8825655;-4,072637;3,524071;4,841587;4,394533;-0,05099249;3,054066;0,1382394;-1,29085;-2,468653;1,548445;-1,704545;0,9152727;-4,730948;-2,68348;2,462308;-1,826045;-2,670352;-1,393461;-1,978197;0,8717256
9|TOP2|0,07544538|4,228039;0,5484991;2,493027;-4,397143;1,159973;-4,923777;-3,143257;4,711604;3,018597;1,113197;0,8025961;-1,126039;3,236008;0,4162674;-3,832094;4,201753;0,2947907;-2,785172;-0,04639912;1,635829;4,962795;-1,155655;-0,53405;-0,7104917;-4,980408;-2,071046;2,236476;1,002466;4,459171
10|TOP2|0,07215823|-3,171209;-3,129828;3,754726;1,138651;-0,781085;0,6807904;-1,970515;-2,874574;0,6134157;-2,185436;1,22569;-4,907031;0,0812726;1,670501;0,3646178;-2,720061;0,4033928;-3,475134;-2,843498;2,806598;-4,176439;1,0558;-4,343048;-0,8851476;0,6184559;-1,523714;-4,401245;2,478399;0,09292412
11|TOP2|0,03010093|-4,577612;-0,9126573;4,741022;-4,049996;4,547209;-1,211824;-4,860507;0,1079578;-1,400974;4,097079;-1,365051;-2,743305;4,221302;0,8080621;-0,05557728;-3,01456;1,039576;-0,04787254;4,716759;1,27107;-2,421999;0,8536677;2,171881;-4,157232;-3,316963;-3,607364;-3,167948;-4,804259;4,271951
12|TOP2|0,02115184|0,7853799;1,13168;-1,02341;0,9114952;0,8061247;-4,871463;4,236419;-4,541464;-0,4326911;-4,384494;-4,179676;4,865886;4,278172;-0,6394653;3,441585;2,508819;-1,281965;3,725464;-2,077651;3,459843;3,648253;0,2580471;-1,964884;1,651298;3,829201;-4,58918;-4,012449;-3,384322;3,963297
13|TOP2|0,01953132|-0,8578939;3,09007;4,557866;2,833614;4,146627;3,288052;2,831777;-3,766135;4,925237;-2,220501;-1,574395;-0,6184478;-2,075637;1,930069;-1,002891;1,555885;-4,572721;2,043606;0,3072529;-0,8172493;-3,348907;-0,05244684;-1,411178;-3,051388;-1,629712;0,7351942;0,2313547;1,61607;-3,98407
14|TOP2|0,01547797|-3,283982;-1,906062;0,9347887;1,565552;-0,414875;3,236878;-2,643201;-2,415536;-2,165157;-2,191779;-4,941973;4,234459;1,658968;1,817405;3,066154;3,971231;-4,160662;-2,462132;-0,7361035;-1,686326;-3,987361;0,2292209;-4,83776;-2,057397;-1,767171;-3,94247;-3,694516;-2,854701;1,080373
15|TOP2|0,01252205|0,8016829;0,6884723;-2,984873;-3,078156;0,7554407;-0,1310892;0,3922038;1,562019;-2,649468;-0,7098417;-3,069328;-3,728041;3,508165;-0,7804556;1,514083;-0,346529;0,3471465;1,858351;-2,833911;4,332139;-1,447334;-1,972923;3,471802;-4,629231;-0,2222447;-4,850145;-4,660458;2,100023;-2,027423
16|TOP2|0,01201547|4,200923;2,566546;-0,8220201;-3,137889;-2,465675;-3,43502;-3,743892;4,194271;-4,477415;-3,990165;-0,9427028;-1,463413;-0,3240852;3,583112;-1,681103;-3,28123;1,402631;4,935904;4,180503;3,480105;-0,8165379;-4,03126;2,842581;-1,351401;1,554078;1,981656;0,1263671;-2,822529;0,7277708
