Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,08068936
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
7|TOP2|0,07093376|-0,1453227;0,2914953;-0,9590204;-0,6839445;-0,3600503;0,917093;0,9172359;0,9985511;0,6320868;-0,9443727;-0,2408928;0,5444562;0,6141181;-0,2321748;-0,1088794;0,7379115;-0,7553988;0,3336909;0,9461153;-0,6085188;0,7526486;0,3656182;0,8397884;-0,2488841;-0,3533257;0,1227785;-0,7281485;-0,1341492;0,7220116
8|TOP2|0,07078905|-0,3245019;-0,5361166;0,06953537;0,09423101;0,6589303;0,1289119;-0,9203522;0,8269355;0,4868421;0,6026938;0,177344;0,701267;-0,2212905;-0,7068615;0,2164875;-0,6029894;0,06760776;-0,5123785;-0,9993951;-0,7922018;0,8919723;-0,05120289;0,1213838;-0,5435259;-0,8949885;0,8300784;-0,02924311;0,9136539;0,9129372
9|TOP2|0,06924535|0,6779268;-0,7602417;0,6265097;-0,9049516;-0,8490591;-0,5971401;0,01718819;-0,2365648;-0,2133175;-0,2906672;0,7627115;-0,3195566;-0,6593254;-0,82428;-0,1634668;-0,9351094;-0,2061254;0,5628345;-0,4311987;-0,4197325;-0,2301475;0,1438869;-0,0927881;-0,2455374;-0,6458025;-0,2991132;0,7093949;-0,8041906;-0,05655706
10|TOP2|0,05280826|0,2835698;-0,6725616;-0,05388558;0,4255488;-0,820781;0,203051;0,7320683;-0,9718153;0,02830541;-0,1439015;0,7655385;0,5135496;-0,4776829;0,6761382;-0,9517155;0,3732805;-0,6171377;0,3646264;-0,960212;0,166484;-0,6704156;-0,05173457;-0,02933538;-0,6611147;0,1035451;-0,2813436;0,2199622;0,1283609;0,1670965
11|TOP2|0,05279283|-0,4678062;0,09914815;-0,055426;-0,5836701;-0,8862851;-0,9564519;-0,4302031;-0,5727603;-0,1036729;0,339797;-0,06199419;0,1380171;-0,4158589;-0,8294618;0,5993059;-0,1815394;-0,7156439;-0,1659037;-0,1832575;0,4889171;-0,911041;-0,2959677;0,07312119;0,6382995;0,1970512;-0,9379935;0,8184857;-0,9764204;0,7202446
12|TOP2|0,05165027|-0,3506747;-0,1376127;-0,1948043;0,2823684;0,1812788;-0,2582444;0,8271158;0,3365283;0,4739577;-0,09872186;-0,6448867;-0,9993868;-0,3608273;0,7610626;0,3771081;-0,9033592;-0,1561371;0,7770054;-0,4126078;0,6742623;0,6844096;0,5681858;-0,4157478;-0,8579552;-0,6718559;-0,379532;-0,8512201;-0,8636644;0,6139739
13|RandomParents|0,04738518|0,2072343;-0,5732656;-0,01026213;0,698725;-0,2166837;-0,6496537;-0,379357;0,4144151;0,03109753;-0,8533726;-0,9013886;0,03089035;0,4005711;-0,8984656;0,7101452;-0,2524544;-0,4468278;0,8165424;0,6184003;0,9546595;-0,6885526;-0,6727004;0,3727693;-0,7913535;0,5107143;-0,1582228;-0,7876365;0,5704899;0,4774184
14|TOP2|0,04575198|0,2598169;0,1193665;0,5868149;0,09725082;-0,02506578;0,8605344;-0,3673514;-0,529712;-0,5647216;0,8096702;0,06235874;-0,338401;0,5102389;-0,3257698;0,7661664;-0,1145154;-0,6095617;0,905479;-0,6917164;-0,2377409;-0,2916151;0,6022823;-0,8530755;0,1384152;0,6432927;0,4446852;0,4247825;-0,6691585;-0,3170725
15|TOP2|0,04209661|-0,04449713;-0,9656601;-0,6689022;0,8210163;-0,3983942;0,2068218;-0,1135401;-0,9182303;0,4818453;-0,1120404;0,5565376;0,2494823;0,06368649;-0,6684227;0,6139977;-0,7296882;-0,6442699;-0,2798351;-0,4114043;0,3173353;-0,2152761;-0,5526457;0,6815906;-0,4614857;0,7488582;0,9321704;0,005165935;-0,7935934;-0,1757323
16|TOP2|0,04182965|0,7022047;0,838506;-0,7346013;-0,004613757;0,4993925;-0,5952368;0,1821264;-0,8790314;-0,9442985;-0,3767449;0,08178318;-0,9577899;-0,1626059;-0,5443454;-0,6968017;0,7788494;-0,3241276;0,08208787;-0,3211921;0,4817331;-0,4797982;0,1216644;0,9379923;0,4736287;-0,8409455;-0,2260529;-0,5888219;-0,1852492;0,8634224
