Generation: 351 | maxFitness: 0,1549068 | maxFitnessGen: 0,1172966 | maxFitnessGenBuf: 0,1176906
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
26|TOP2|0,02860982|1,703791;-0,02250689;-2,202412;0,1656975;1,044227;-1,055622;2,437808;-1,100699;0,01053397;1,282737;-0,06405126;-2,6484;0,03741461;1,564414;1,097963;0,2643352;0,7909879;1,342129;-2,431716;2,66873;-0,8499819;-0,04577039;-2,615983;1,468556;-3,823553;-0,2779405;1,556191;0,589959;-0,5197839
27|TOP2|0,02804537|1,699009;-0,4393646;-2,137336;0,1656975;0,7942908;-1,055622;2,799745;-0,7241752;0,0914949;1,764257;0,3472601;-2,186274;0,04066646;1,650983;0,9285387;0,2643352;0,685169;1,342129;-2,431716;2,442009;-0,7208498;-0,4751476;-3,322051;1,170846;-3,721289;-0,760551;1,243427;-0,03992958;-0,1887974
28|TOP2|0,0278725|1,5579;-0,2073764;-2,557896;-0,1147056;0,4411739;-1,108464;2,799745;-1,027613;0,01053397;1,764257;-0,06405126;-2,414829;0,04066646;1,743683;0,9285387;0,450164;0,9481588;1,018652;-1,971386;2,66873;-0,7208498;0,1772076;-3,102641;1,170846;-3,826102;-0,2779405;1,556191;0,1999185;0,2156586
29|TOP2|0,02738239|2,355074;0,08738554;-2,428088;0,1656975;0,5336547;-1,055622;3,233255;-0,9644428;0,01053397;1,764257;-0,5432446;-2,186274;0,07076019;1,332144;0,9285387;0,2643352;0,6393412;1,342129;-2,431716;3,062175;-0,7208498;-0,04577039;-2,858361;1,047782;-3,826803;-0,4624824;1,283659;0,182099;0,2528112
30|TOP2|0,02697942|2,347867;-0,02250689;-2,091996;0,3851359;0,8971447;-1,174381;2,910223;-1,547817;0,01053397;1,476734;-0,06405126;-2,186274;0,04066646;1,564414;0,9285387;0,2643352;1,149281;1,342129;-2,559676;2,913005;-0,7208498;0,220052;-3,102641;1,020201;-3,826102;-0,2779405;1,556191;-0,07405902;-0,1208004
31|TOP2|0,02585557|1,882785;-0,02250689;-2,464843;0,3794234;0,8971447;-0,7383392;2,799745;-1,264585;-0,2886908;1,764257;-0,06405126;-2,189018;0,1151685;1,564414;0,9285387;0,2643352;0,7909879;1,342129;-2,297667;2,66873;-0,7208498;0,3248485;-2,915154;0,7783;-3,965275;-0,2779405;1,691713;-0,096092;-0,1208004
32|TotallyRandom|0,02578781|0,09669721;0,8494353;-0,5172257;-0,4288071;0,4326856;-0,1244088;0,3601496;-0,627243;0,1707968;-0,9070766;0,4490647;0,3816631;-0,9527409;0,2271029;-0,002965808;0,881171;0,6510291;0,4706399;-0,6505294;0,5268137;-0,8530192;0,8095367;0,1525837;0,9432449;0,3175156;-0,7231007;-0,1823093;0,6505249;0,564173
33|TOP2|0,0255168|1,882785;0,3710855;-1,97693;0,1305936;0,7585867;-0,7220268;2,494828;-1,100699;0,01053397;1,764257;-0,4140631;-2,186274;0,5222566;1,564414;0,8290768;0,6429368;0,7909879;1,342129;-2,431716;2,66873;-0,9881509;-0,4319509;-3,102641;1,170846;-3,826102;-0,5032254;1,556191;0,6029817;-0,1208004
34|TOP2|0,02551347|1,874115;-0,02250689;-2,522724;-0,09427722;0,8971447;-1,055622;2,799745;-0,8802211;0,2585744;1,34132;-0,1432553;-1,874195;-0,4005269;1,965172;0,6839659;0,7193949;1,096169;0,8637497;-2,431716;2,66873;-0,7208498;0,03247137;-3,102641;1,399472;-3,826102;-0,5427169;1,556191;0,4920441;-0,08529326
35|TOP2|0,02528387|2,267154;-0,02250689;-2,432538;0,1656975;1,273394;-1,055622;2,799745;-1,413438;0,01053397;1,796819;-0,06405126;-2,186274;0,01670665;1,564414;0,9285387;0,2437681;0,7909879;1,342129;-2,431716;3,1151;-0,7208498;-0,04577039;-3,102641;1,170846;-3,826102;-0,2779405;1,556191;0,6164619;-0,1208004
