Generation: 499 | maxFitness: 3,670536 | maxFitnessGen: 2,063953 | maxFitnessGenBuf: 2,010599
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 24 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,70604 | BrainData : 0,6295612;1,254219;4,02632;0,6234611;3,30327;-1,009194;4,183145;0,967047;-0,07917631;-0,9402556;-3,524143;-4,200831;2,927724;-2,34109;3,945639;-2,870314;4,875662;0,9570051;-1,258614;-4,457344;-1,366233;0,1772301;-1,437194;1,124869;-2,910509;3,8353
Index: 25 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,703302 | BrainData : 0,6506227;1,252631;4,035142;0,6107545;3,419709;-1,070872;4,163438;0,990513;-0,03249615;-0,8790659;-3,549943;-4,191098;3,04679;-2,41219;3,964501;-2,888077;4,833149;0,9551922;-1,198555;-4,468586;-1,382595;0,219903;-1,478435;1,088061;-2,943306;3,795391
Index: 26 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,696912 | BrainData : 0,6506227;1,280554;4,063228;0,6884928;3,380895;-1,093761;4,209231;1,026331;-0,03249615;-0,8559886;-3,549943;-4,242303;3,022342;-2,422123;3,964501;-2,875426;4,881434;0,9551922;-1,26711;-4,506863;-1,372208;0,2063517;-1,435585;1,109979;-2,943306;3,795391
Index: 27 | Name: car 43 | Brain Type: TOP2 | Fitness: 1,689376 | BrainData : 0,6399899;1,276681;4,090193;0,646326;3,380895;-1,093761;4,174488;0,990513;-0,05470869;-0,8559886;-3,549943;-4,220138;3,04679;-2,373245;3,987374;-2,842376;4,865196;0,9132847;-1,233291;-4,468586;-1,372208;0,2107641;-1,478435;1,097187;-2,945039;3,795391
Index: 28 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,592014 | BrainData : 0,6506227;1,261849;4,063228;0,6446646;3,380895;-1,093761;4,189135;0,990513;-0,03249615;-0,8559886;-3,549943;-4,220138;3,089772;-2,44556;3,964501;-2,832207;4,881434;0,9964484;-1,233449;-4,439254;-1,372208;0,2340299;-1,519951;1,088061;-2,943306;3,795391
Index: 29 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,498786 | BrainData : 0,6845569;1,261849;4,09262;0,682319;3,380895;-1,093761;4,209231;0,990513;-0,03986625;-0,8559886;-3,549943;-4,260893;3,043666;-2,422123;3,964501;-2,875426;4,881434;0,976037;-1,232744;-4,442607;-1,411459;0,2063517;-1,456891;1,116099;-2,951781;3,803084
Index: 30 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,297353 | BrainData : 0,6506227;1,261849;4,063228;0,646326;3,404436;-1,093761;4,209231;1,029429;-0,03249615;-0,8559886;-3,549943;-4,2042;3,04679;-2,422123;3,948895;-2,911507;4,881434;0,9551922;-1,194391;-4,487507;-1,372208;0,1609981;-1,43974;1,086707;-2,943306;3,795391
Index: 31 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,237358 | BrainData : 0,6005297;1,254001;4,058056;0,6451879;3,301877;-1,03961;4,13599;0,9713722;-0,008321628;-0,8667262;-3,564241;-4,200306;2,953394;-2,347485;3,945639;-2,86152;4,915873;0,9570051;-1,277339;-4,459769;-1,335241;0,1947932;-1,441235;1,05321;-2,915441;3,789467
Index: 32 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,183393 | BrainData : 0,6373492;1,267453;3,982107;0,5768853;3,36896;-1,054935;4,189024;0,9885972;-0,04369621;-0,8978316;-3,503056;-4,219916;2,966002;-2,355833;3,98077;-2,913949;4,899051;0,983588;-1,215534;-4,464087;-1,316396;0,1635973;-1,522824;1,176852;-2,910509;3,778678
Index: 33 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,009021 | BrainData : 0,6500792;1,299369;4,02632;0,6534048;3,349373;-1,105021;4,175698;0,9885972;-0,0608188;-0,8527055;-3,49027;-4,147288;2,979393;-2,364682;3,908096;-2,870314;4,92232;0,9820555;-1,198253;-4,471312;-1,331042;0,2250293;-1,478435;1,107413;-2,961324;3,762826
