Generation: 965 | maxFitness: 3,670536 | maxFitnessGen: 1,830156 | maxFitnessGenBuf: 2,589593
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 25 | Name: car 28 | Brain Type: TOP2 | Fitness: 2,134021 | BrainData : -2,268992;0,1049472;-1,98861;-0,05840689;-3,393123;4,154698;-0,02209105;3,453428;2,105344;4,508951;1,028003;-4,74596;-4,394114;2,110147;-2,429678;-3,653152;-0,3328645;-4,305551;4,429245;-0,4006876;-3,928358;-3,241381;2,288918;-2,341211;-1,835801;4,142885
Index: 26 | Name: car 36 | Brain Type: TOP2 | Fitness: 2,132054 | BrainData : -2,29795;0,09863324;-1,945234;-0,05840689;-3,354327;4,181729;-0,02209105;3,408438;2,105344;4,508951;1,028003;-4,74596;-4,394114;2,089916;-2,429678;-3,653152;-0,2948765;-4,297482;4,429245;-0,4006876;-3,911071;-3,27844;2,288918;-2,307707;-1,85893;4,205721
Index: 27 | Name: car 14 | Brain Type: RandomParents | Fitness: 2,117483 | BrainData : -2,300858;0,1206785;-1,941159;-0,05383984;-3,421384;4,201833;-0,1065027;3,453428;2,113804;4,552235;0,98836;-4,715014;-4,405706;2,108898;-2,437956;-3,591253;-0,3222118;-4,329937;4,459618;-0,4397178;-3,899067;-3,273546;2,293835;-2,307707;-1,81723;4,117848
Index: 28 | Name: car 13 | Brain Type: RandomParents | Fitness: 2,086086 | BrainData : -2,311865;0,1539496;-1,98861;-0,04563282;-3,386631;4,193544;-0,09107956;3,404136;2,031764;4,508951;1,022791;-4,715014;-4,384768;2,098496;-2,429678;-3,586971;-0,3329796;-4,339299;4,520497;-0,4232342;-3,965604;-3,235914;2,313582;-2,268735;-1,819053;4,154717
Index: 29 | Name: car 2 | Brain Type: RandomParents | Fitness: 2,075007 | BrainData : -2,335492;0,1173377;-1,98861;-0,05383984;-3,336122;4,226046;-0,07934056;3,409639;2,145293;4,508951;1,067609;-4,670701;-4,380498;2,108898;-2,429678;-3,624221;-0,3783965;-4,347979;4,488351;-0,4207807;-3,924092;-3,232191;2,293835;-2,307707;-1,86752;4,219406
Index: 30 | Name: car 32 | Brain Type: TOP2 | Fitness: 2,075006 | BrainData : -2,29795;0,07108659;-1,98861;-0,05840689;-3,326118;4,201833;-0,02209105;3,416219;2,105344;4,52213;1,02717;-4,706673;-4,394114;2,116046;-2,389523;-3,661711;-0,3328645;-4,326262;4,429245;-0,3738008;-3,94483;-3,234378;2,288918;-2,308881;-1,835801;4,146936
Index: 31 | Name: car 45 | Brain Type: TOP2 | Fitness: 2,073806 | BrainData : -2,29795;0,07108659;-1,98861;-0,105383;-3,32091;4,238205;0,01693162;3,41792;2,105344;4,510829;0,9908857;-4,792015;-4,394114;2,078547;-2,476134;-3,628221;-0,2899103;-4,283885;4,429245;-0,4006876;-3,921211;-3,234378;2,288918;-2,307707;-1,866005;4,188593
Index: 32 | Name: car 11 | Brain Type: RandomParents | Fitness: 2,072061 | BrainData : -2,268859;0,1165067;-2,06533;-0,02026739;-3,397033;4,18498;-0,06159521;3,453428;2,148741;4,508951;1,056188;-4,722953;-4,376862;2,118712;-2,457521;-3,571414;-0,430629;-4,3476;4,423618;-0,4282937;-3,914401;-3,247584;2,293835;-2,350546;-1,862231;4,188593
Index: 33 | Name: car 44 | Brain Type: TOP2 | Fitness: 2,061444 | BrainData : -2,341992;0,07108659;-1,999178;-0,05840689;-3,354327;4,201833;-0,02209105;3,478406;2,107192;4,508951;1,055773;-4,72476;-4,394114;2,089916;-2,414168;-3,632655;-0,3328645;-4,326262;4,429245;-0,4160147;-3,905923;-3,233054;2,331473;-2,307707;-1,835801;4,188593
Index: 34 | Name: car 46 | Brain Type: TOP2 | Fitness: 1,984161 | BrainData : -2,29795;0,04139714;-1,957562;-0,05840689;-3,354327;4,201833;-0,02814908;3,453428;2,105344;4,501329;0,9947144;-4,753141;-4,438114;2,076212;-2,429678;-3,698899;-0,2930174;-4,354532;4,400217;-0,4006876;-3,962817;-3,234378;2,313293;-2,300459;-1,835801;4,188593
