Generation: 2 | maxFitness: 0,3747818 | maxFitnessGen: 0,3747818 | maxFitnessGenBuf: 0,6296127
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 30 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,4183846 | BrainData : -3,358846;-3,360723;-0,07568312;-4,591493;3,146339;-4,117039;-4,392916;0,8752699;-4,094106;0,02274799;3,259553;4,003403;4,037362;4,319821;-0,3636665;-0,9342356;0,01724291;4,482998;-0,2049298;4,264818;2,118363;-0,379581;-3,798672;-4,396519;2,108377;-2,239465
Index: 31 | Name: car 12 | Brain Type: RandomParents | Fitness: 0,3842569 | BrainData : -4,570457;-1,361223;-2,105256;-1,264994;0,5775218;3,094797;-2,244116;-3,855534;2,648694;2,184598;1,07847;1,979025;-3,499321;-1,609653;4,420826;1,512619;1,973394;-4,493723;0,9451432;-0,8930974;2,846824;2,977128;-2,428427;3,45154;1,906089;-4,347066
Index: 32 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,3762498 | BrainData : -4,404118;4,43902;0,2833099;-4,142622;-1,523679;0,4115028;-0,1712389;0,06395388;2,32769;-4,634583;0,2138834;-4,293489;2,379099;4,975548;-3,477458;-4,851097;3,609127;1,690155;3,971753;-2,858229;-2,80692;-1,18119;-4,007896;-2,85744;-4,958049;-1,532511
Index: 33 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,3729616 | BrainData : 1,861502;2,442445;4,808112;-3,788104;1,729114;2,4542;-1,031608;1,055753;-2,452724;-0,8042102;1,30852;-2,810616;-3,111888;1,23842;-4,775995;1,747905;-2,737453;-1,172965;2,93419;-4,711499;-1,656752;-3,663296;0,7079811;-3,592443;-3,888496;1,133557
Index: 34 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,3595739 | BrainData : 0,6666257;-2,817074;4,888263;-4,714168;-3,719181;-3,361851;3,867698;3,554982;3,686259;-4,003094;4,500846;-2,509879;-4,84096;-2,422781;3,700769;1,414612;2,198818;-4,200396;1,076047;-4,05973;3,152208;-3,550161;-0,7898159;-0,115985;4,25089;3,55849
Index: 35 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,3595733 | BrainData : -1,97598;-1,987855;4,140845;3,291755;-4,361164;-0,9649796;-0,4942688;3,054991;-1,79597;0,6369826;1,940629;-2,707986;4,15174;-4,589937;3,823415;-1,995948;-1,815134;0,06789152;-0,654531;3,573261;3,831152;0,8509061;-3,936891;1,007908;2,340723;3,596543
Index: 36 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,35957 | BrainData : 0,6345553;-2,769522;4,925828;-4,660196;-3,722405;-3,361851;3,835553;3,516754;3,754512;-4,003094;4,509247;-2,509879;-4,856819;-2,446856;3,713998;1,498624;2,198818;-4,200396;1,037651;-4,055196;3,120361;-3,599299;-0,7898159;-0,1821976;4,223676;3,558459
Index: 37 | Name: car 23 | Brain Type: TotallyRandom | Fitness: 0,3589476 | BrainData : 3,198563;4,732635;-0,5381374;-4,593688;1,158788;0,3807836;-4,03854;0,6333418;-1,258314;1,447693;-0,6193991;-0,119143;3,861614;-1,703751;4,321819;0,2278857;-1,224055;-4,406214;-1,990585;-4,209265;0,5874963;4,692342;4,938932;1,124291;2,139542;3,888457
Index: 38 | Name: car 24 | Brain Type: TotallyRandom | Fitness: 0,3589171 | BrainData : -4,200603;-2,444343;-3,376698;-1,764395;0,08833122;-1,242359;1,129852;4,617361;-1,194982;3,870756;3,991812;-3,635893;4,789848;-2,430795;-3,613955;-4,288763;-3,91232;0,8187728;4,128639;4,197588;3,513583;3,716575;0,3077345;0,9499021;3,550705;-1,60693
Index: 39 | Name: car 22 | Brain Type: TotallyRandom | Fitness: 0,3587072 | BrainData : -0,4505305;-3,443523;-4,043386;-0,8973937;-2,667644;2,658293;0,5837946;-4,911684;-0,005635738;3,721228;1,996553;-2,704463;3,523329;0,4170413;3,875079;0,7125072;0,4157085;-0,1073594;-1,505023;-4,851774;3,979635;-2,711457;0,7068057;1,50622;4,698664;2,29779
Index: 40 | Name: car 6 | Brain Type: RandomParents | Fitness: 0,3550849 | BrainData : -4,073567;1,833576;-2,917144;1,953397;-0,02088409;4,908627;3,324614;4,921111;1,157737;1,000473;-2,935348;2,878139;4,203302;4,287097;0,1369572;-3,057495;4,107325;-2,939631;-4,512785;-4,713391;3,731825;-0,2242595;-3,200355;-4,733768;-0,5094849;0,01592112
Index: 41 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,3368411 | BrainData : -2,548915;-4,095716;-2,409916;0,707777;0,9426885;-0,9331126;1,862908;-3,779645;-2,789326;4,1472;0,5282574;-2,513473;-0,6038647;0,1656265;-1,407458;4,740089;-3,7293;0,5639343;2,090522;-3,206394;-4,025436;-3,650087;-4,81568;0,07581902;4,213227;-3,504694
Index: 42 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,3143853 | BrainData : 4,255055;2,118413;-1,618958;1,235973;0,5934386;0,1357298;1,164503;-1,378269;2,467305;-2,472305;-3,910144;1,769942;-1,260951;1,426449;4,278798;-2,009395;-3,889906;-1,368712;-4,869911;0,4747081;-2,35501;-4,743188;2,345407;2,991346;-0,9298282;1,193385
Index: 43 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,3100469 | BrainData : 2,032647;3,319868;-4,929331;-0,250823;-1,1988;4,011635;0,6014962;-4,988691;1,648998;2,141182;1,769696;-1,38172;-4,453209;0,2259235;-4,206573;-1,599925;-0,0005464554;-3,650517;-2,580658;4,8524;-0,4936485;-4,993019;0,2562003;-0,01845312;-2,033276;-3,727451
Index: 44 | Name: car 14 | Brain Type: RandomParents | Fitness: 0,3093171 | BrainData : 4,508066;0,2743335;-3,977646;0,05192089;-0,3948449;-3,661378;-3,888563;2,63393;1,640557;-2,934489;-3,468102;2,247868;2,86025;-2,539355;-2,193641;-0,8988622;-2,455534;0,7482486;-1,47279;0,02923536;3,310089;-2,876804;2,199198;4,553274;-0,8777136;4,477565
Index: 45 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,3059987 | BrainData : 3,894151;2,610459;-4,610238;1,507454;4,683953;1,35475;-2,338105;1,93616;0,7159905;0,8944888;2,59672;0,455562;1,450573;4,787913;-4,53408;-1,899547;-0,2953024;3,037997;-0,4814653;-2,052351;4,349138;-2,231679;-4,813503;3,120438;-1,19621;4,024669
Index: 46 | Name: car 13 | Brain Type: RandomParents | Fitness: 0,3021052 | BrainData : -0,3551192;3,52387;0,6673151;1,268818;3,547092;1,131627;3,888853;-3,531105;1,788164;1,23104;2,298697;4,017906;3,25883;-4,040012;4,413248;0,1259942;-2,927952;4,433407;-3,516535;1,670084;-1,917916;2,312906;1,506128;-1,4907;-2,410657;1,340326
Index: 47 | Name: car 11 | Brain Type: RandomParents | Fitness: 0,280398 | BrainData : -0,5249866;-3,030452;2,504092;1,123065;-4,856821;-3,078093;3,05102;3,181813;-0,6292253;-3,645455;4,489838;1,317393;0,9210186;3,756855;-3,03072;-2,1187;-0,587352;3,751503;0,680656;4,647527;4,104214;-1,77057;3,986558;-1,888667;-1,122534;-2,541993
Index: 48 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,2778365 | BrainData : -0,5112629;1,951259;0,
