Generation: 315 | maxFitness: 3,670536 | maxFitnessGen: 1,749311 | maxFitnessGenBuf: 1,723777
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 26 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,09052 | BrainData : 1,020769;0,9345298;3,72913;0,3768588;3,346482;-0,7950131;4,433381;0,4982301;-0,3622072;-0,9708779;-3,895574;-4,339852;3,11965;-3,020857;3,743204;-3,298027;4,948066;1,261921;-1,314083;-4,899301;-1,052399;0,2685883;-1,513463;1,124898;-2,679834;3,862595
Index: 27 | Name: car 29 | Brain Type: TOP2 | Fitness: 1,086836 | BrainData : 1,06123;0,9345298;3,72913;0,3591056;3,390793;-0,8382311;4,403938;0,4848438;-0,3571276;-0,9521639;-3,837119;-4,316007;3,11965;-3,064087;3,746681;-3,279946;4,948066;1,277683;-1,350928;-4,899301;-1,009148;0,267122;-1,509645;1,124898;-2,647368;3,80928
Index: 28 | Name: car 28 | Brain Type: TOP2 | Fitness: 1,066443 | BrainData : 1,029593;0,8991926;3,778185;0,3400633;3,346482;-0,8382311;4,433381;0,4934929;-0,3446597;-0,951152;-3,819342;-4,30668;3,138508;-3,020857;3,744328;-3,299676;4,984366;1,253937;-1,325411;-4,859136;-1,009148;0,2889361;-1,509645;1,092953;-2,669848;3,843621
Index: 29 | Name: car 36 | Brain Type: TOP2 | Fitness: 1,019534 | BrainData : 1,085053;0,9456066;3,751989;0,3310591;3,346482;-0,8370695;4,433381;0,5119984;-0,3446597;-0,951152;-3,843366;-4,316007;3,11965;-2,982004;3,746893;-3,299676;4,948066;1,228722;-1,285703;-4,945179;-0,9605259;0,3167524;-1,509645;1,167436;-2,679834;3,853765
Index: 30 | Name: car 26 | Brain Type: TOP2 | Fitness: 1,017313 | BrainData : 1,023615;0,8955867;3,72913;0,3591056;3,304893;-0,8382311;4,474568;0,4934929;-0,3446597;-0,951152;-3,827362;-4,290224;3,105015;-3,036767;3,71503;-3,281666;4,948066;1,279887;-1,284552;-4,858547;-1,009148;0,3167524;-1,49533;1,168068;-2,679834;3,854275
Index: 31 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,012474 | BrainData : 1,025841;0,9345298;3,72913;0,3603801;3,346795;-0,8382311;4,433381;0,4934929;-0,3446597;-0,9946491;-3,85757;-4,284811;3,11965;-3,020857;3,744328;-3,338099;4,948066;1,230895;-1,350973;-4,88398;-1,009148;0,2916945;-1,509645;1,174388;-2,715455;3,853765
Index: 32 | Name: car 47 | Brain Type: TOP2 | Fitness: 0,9929383 | BrainData : 1,090953;0,889528;3,72913;0,3591056;3,322196;-0,8382311;4,468799;0,4934929;-0,3446597;-0,951152;-3,85757;-4,349271;3,095865;-3,020857;3,744328;-3,279379;4,988025;1,253937;-1,314083;-4,899301;-1,019497;0,3644028;-1,482685;1,124898;-2,679834;3,853765
Index: 33 | Name: car 41 | Brain Type: TOP2 | Fitness: 0,9564608 | BrainData : 1,085065;0,9309644;3,72913;0,3591056;3,39086;-0,8648284;4,44477;0,5147751;-0,3446597;-0,9390583;-3,898599;-4,316007;3,11965;-3,002452;3,744328;-3,299676;4,948066;1,253937;-1,34792;-4,90333;-1,009148;0,3374446;-1,474395;1,158398;-2,679834;3,853765
Index: 34 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,870324 | BrainData : 0,981708;0,9381891;3,66915;0,3158018;3,311302;-0,8798811;4,321023;0,4974663;-0,2612618;-0,9449002;-3,861445;-4,363703;3,093448;-3,063657;3,771492;-3,224792;4,953642;1,255895;-1,244513;-4,895897;-0,9994277;0,3597196;-1,464753;1,173279;-2,653096;3,874199
Index: 35 | Name: car 42 | Brain Type: TOP2 | Fitness: 0,8236282 | BrainData : 1,109988;0,9539946;3,72913;0,3591056;3,36591;-0,8382311;4,433381;0,4538806;-0,3446597;-0,9087436;-3,85757;-4,316007;3,11965;-2,998308;3,744328;-3,29721;4,948066;1,245516;-1,345233;-4,94768;-1,009148;0,3608432;-1,530502;1,161137;-2,679834;3,853765
