Generation: 594 | maxFitness: 3,670536 | maxFitnessGen: 1,97107 | maxFitnessGenBuf: 2,055755
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 24 | Name: car 11 | Brain Type: RandomParents | Fitness: 1,626802 | BrainData : 1,093385;1,390919;4,195568;0,7206478;3,443722;-1,24883;4,242678;0,8622141;0,1059269;-1,033197;-3,641043;-4,247318;3,121241;-2,265501;3,91621;-3,154907;5,09881;0,6262732;-1,353042;-4,51751;-1,176635;0,146706;-1,141297;1,213119;-2,912114;3,862139
Index: 25 | Name: car 6 | Brain Type: RandomParents | Fitness: 1,589119 | BrainData : 1,037357;1,354961;4,179976;0,7206478;3,42016;-1,278083;4,212831;0,8691858;0,1059269;-0,9753283;-3,701537;-4,288776;3,112566;-2,274023;3,879593;-3,082192;5,053002;0,6596881;-1,353042;-4,436069;-1,164959;0,1758589;-1,129538;1,167623;-2,91067;3,823436
Index: 26 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,381868 | BrainData : 1,06008;1,390919;4,184188;0,7442706;3,416893;-1,310545;4,242678;0,8622141;0,1059269;-1,033197;-3,614986;-4,297875;3,121241;-2,30156;3,957556;-3,151293;5,092808;0,6262732;-1,353042;-4,51751;-1,176635;0,1152988;-1,168465;1,213119;-2,841676;3,905099
Index: 27 | Name: car 37 | Brain Type: TOP2 | Fitness: 1,373155 | BrainData : 1,038664;1,348616;4,152168;0,7212955;3,416893;-1,228767;4,318207;0,8335041;0,1493317;-1,046373;-3,668391;-4,303573;3,135922;-2,277069;3,856415;-3,154907;5,033172;0,6262732;-1,380139;-4,510266;-1,164959;0,130207;-1,138405;1,15837;-2,901785;3,903248
Index: 28 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,369442 | BrainData : 1,093089;1,293667;4,207473;0,7206478;3,40036;-1,309083;4,201316;0,8272488;0,1059269;-1,015268;-3,624005;-4,277638;3,15155;-2,274023;3,879745;-3,135413;5,041216;0,6164917;-1,353042;-4,510266;-1,147359;0,09443383;-1,195477;1,196144;-2,91067;3,877497
Index: 29 | Name: car 14 | Brain Type: RandomParents | Fitness: 1,35229 | BrainData : 1,086173;1,390795;4,213862;0,7701426;3,400054;-1,319414;4,259126;0,7803208;0,1834408;-0,9404313;-3,641043;-4,249248;3,145223;-2,256979;3,929161;-3,176841;5,049158;0,6448575;-1,348632;-4,481325;-1,164959;0,09598419;-1,183541;1,196144;-2,899701;3,890788
Index: 30 | Name: car 42 | Brain Type: TOP2 | Fitness: 1,262032 | BrainData : 1,038664;1,348616;4,157443;0,7212955;3,41523;-1,278083;4,295894;0,8744711;0,1493317;-1,048241;-3,622552;-4,277638;3,174998;-2,274023;3,834612;-3,143093;5,058731;0,6262732;-1,380139;-4,482247;-1,180949;0,1506768;-1,131568;1,212007;-2,943449;3,880737
Index: 31 | Name: car 35 | Brain Type: TOP2 | Fitness: 1,261678 | BrainData : 1,058863;1,312212;4,153594;0,7101793;3,416893;-1,247318;4,283945;0,8272488;0,1493317;-1,034368;-3,693399;-4,272398;3,174998;-2,274023;3,879593;-3,168715;5,041479;0,6262732;-1,380139;-4,510266;-1,160586;0,156322;-1,187221;1,236187;-2,880473;3,880737
Index: 32 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,168541 | BrainData : 1,036851;1,337246;4,241229;0,6861795;3,450067;-1,278978;4,243007;0,9150577;0,2034611;-1,056775;-3,67534;-4,272098;3,117634;-2,189401;3,884119;-3,164652;5,026414;0,6501411;-1,267993;-4,548935;-1,202368;0,08749314;-1,190361;1,16939;-2,949351;3,90524
Index: 33 | Name: car 1 | Brain Type: RandomParents | Fitness: 1,095384 | BrainData : 1,023177;1,354961;4,191696;0,7410786;3,42016;-1,278083;4,277486;0,8296863;0,08928537;-0,9414718;-3,671196;-4,288776;3,138349;-2,274023;3,886375;-3,120979;5,053002;0,6521828;-1,353042;-4,466232;-1,164959;0,2071563;-1,168465;1,192325;-2,867012;3,823436
Index: 34 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,056849 | BrainData : 1,038664;1,310068;4,184188;0,7212955;3,416893;-1,303111;4,235246;0,8272488;0,1380504;-1,079893;-3,655842;-4,277638;3,174998;-2,274023;3,879593;-3,144182;5,041479;0,6563022;-1,380139;-4,510266;-1,164959;0,1430565;-1,169545;1,249628;-2,917985;3,865629
Index: 35 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,6659227 | BrainData : -0,2807994;3,040074;1,660206;-4,282946;3,69578;-4,298377;2,34938;-1,914286;-4,696778;-3,55709;-1,431489;3,282711;-0,3022165;0,3348298;1,829962;-2,580317;1,132526;3,351755;-4,594061;-0,814218;0,2104001;-3,069037;-2,872005;-0,4389734;4,534197;2,923125
Index: 36 | Name: car 17 | Brain Type: TotallyRandom | Fitness: 0,6416299 | BrainData : 3,811514;-0,9996147;3,116828;3,858352;-3,824098;0,859149;4,347435;4,124846;4,804831;-2,784421;-1,380525;2,701482;3,995385;-2,429514;-1,255298;2,499081;1,181995;3,245205;1,308178;4,106693;-1,179735;3,99001;-1,730175;-0,3851848;0,749342;2,125952
Index: 37 | Name: car 0 | Brain Type: RandomParents | Fitness: 0,5975587 | BrainData : -4,342237;-1,210289;4,267921;-2,711526;1,184945;-0,8882565;2,054845;4,216306;-0,2877669;0,9503441;4,771114;0,9156303;-3,073077;-2,585727;2,651232;4,231635;-0,3260117;-0,5578322;3,831558;-2,353796;-3,757276;-3,312799;2,561748;1,480994;3,705255;-1,386822
Index: 38 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,5970903 | BrainData : -1,887085;5,004765;-1,35119;0,4089165;3,747283;-2,840466;2,829667;4,662206;1,946107;-3,00709;3,028888;4,981507;-2,619591;-0,6652317;2,589302;-3,984113;-1,270483;-0,1393499;-1,8709;-3,197824;-4,721326;4,703593;-1,497814;-0,7245119;3,160384;-0,927829
Index: 39 | Name: car 21 | Brain Type: TotallyRandom | Fitness: 0,59594 | BrainData : -0,7269473;3,312071;-2,069089;0,9968801;-1,808209;-1,796406;1,48476;3,966038;1,135911;4,061081;-3,215277;1,323603;1,515171;-2,15635;-2,380324;-0,4641514;0,03441525;-1,000751;-3,034587;-2,306778;4,34946;-0,5857663;0,05787325;0,218348;3,269795;-0,2610331
Index: 40 | Name: car 24 | Brain Type: TotallyRandom | Fitness: 0,5940815 | BrainData : -4,691968;1,821016;-1,246657;1,776402;-3,538064;-2,748627;1,10106;2,60473;4,964136;1,462582;-3,78418;4,32702;3,115904;-3,046715;-3,97722;-3,112297;1,103309;-4,356526;-2,342414;-1,527431;-4,329471;3,329327;3,546363;2,831994;1,677197;0,5504136
Index: 41 | Name: car 15 | Brain Type: TotallyRandom | Fitness: 0,5892489 | BrainData : -2,74704;2,94313;3,681019;-4,085427;0,4920573;-0,1422472;-0,5976276;-0,2118177;0,5099745;-4,298529;-4,475737;-4,494833;0,6951208;1,305939;-3,680005;-1,547857;3,988518;-3,150785;-2,092617;-1,873657;3,267502;-1,674842;4,559426;-0,2325778;2,454897;4,813196
Index: 42 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,5794451 | BrainData : 3,544737;2,263377;-4,133373;2,137923;-0,02648878;-3,245294;1,738875;4,930228;4,063742;1,927598;-1,138587;1,004419;-4,761678;-1,077317;-1,891872;-0,003172874;2,937889;4,477801;1,161578;-3,741247;1,919433;2,327923;-2,640855;4,173995;4,587196;3,02289
Index: 43 | Name: car 8 | Brain Type: RandomParents | Fitness: 0,4979409 | BrainData : -3,778233;0,5700057;0,359972;4,585749;1,665841;1,472338;-1,058918;3,324231;-3,060596;2,577111;3,804287;3,825265;4,522095;1,799891;3,530974;-3,899839;2,772722;-4,026106;2,454211;-0,4539552;-3,427605;-1,826008;-3,614143;2,285608;-0,1068646;-2,958399
Index: 44 | Name: car 2 | Brain Type: RandomParents | Fitness: 0,4434547 | BrainData : 2,207042;-3,283104;3,035941;-1,078016;-0,2080054;0,3654425;0,01756477;-3,106557;-1,908095;-2,213864;0,1860313;-4,202157;-1,588305;-4,266623;-1,763117;2,062517;1,73485;-4,417977;3,056134;2,450579;-3,959146;-2,637927;-4,814919;1,052652;-4,064806;-2,417462
Index: 45 | Name: car 18 | Brain Type: TotallyRandom | Fitness: 0,435573 | BrainData : -0,6639833;0,0423665;-1,387796;-2,780375;3,222871;3,669251;4,609309;-0,1671462;4,938664;2,515367;-1,774931;3,13575;-1,391702;-2,196435;1,879334;4,862137;-0,02424526;1,526462;1,355206;-0,1488943;3,2057;3,418056;0,9446793;0,7459612;-1,316349;2,271538
Index: 46 | Name: car 23 | Brain Type: TotallyRandom | Fitness: 0,4349285 | BrainData : 2,787925;2,879635;0,7941823;1,963606;3,622585;0,0737505;2,167731;-4,801723;1,946059;-1,86863;0,637805;1,335788;2,68975;-4,160564;-0,2596755;-3,817236;0,8709292;-2,105437;-0,5401225;-1,572803;2,727962;-0,6834583;-0,1665564;2,106365;-1,588358;-1,192432
Index: 47 | Name: car 22 | Brain Type: TotallyRandom | Fitness: 0,4216262 | BrainData : 0,6950803;1,725132;0,679297;3,631883;4,443846;4,094551;3,088393;1,11162;2,564123;2,437462;3,951657;-2,011462;-0,488656;1,403485;-2,469053;3,154589;-2,657576;-1,539209;-0,3598719;-4,272021;-1,344912;1,310877;4,909961;-1,898665;-2,427854;2,109774
Index: 48 | Name: car 16 | Brain Type: TotallyRandom | Fitness: 0,4201235 | BrainData : -1,739352;0,08538198;-4,308352;1,982041;-0,5655222;-0,3012533;-4,231505;-2,84573;2,851269;0,3160243;1,302584;4,535959;3,589557;2,626679;1,794873;-3,120701;-4,190049;-2,288471;0,1646905;1,897449;0,6331463;-0,2278166;4,
