Generation: 624 | maxFitness: 3,670536 | maxFitnessGen: 1,991917 | maxFitnessGenBuf: 2,009287
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 24 | Name: car 5 | Brain Type: RandomParents | Fitness: 1,711429 | BrainData : -2,301749;0,2697442;-1,916784;0,7018223;-3,301457;3,881901;-0,145487;3,719626;1,819793;4,959454;1,563115;-5,012262;-4,268501;1,751889;-2,421295;-3,192065;-0,2720922;-5,045149;3,968028;0,09497762;-4,082818;-2,798495;2,00927;-2,535417;-2,100621;4,144538
Index: 25 | Name: car 41 | Brain Type: TOP2 | Fitness: 1,6959 | BrainData : -2,332865;0,3231027;-2,000393;0,6763394;-3,351775;3,931806;-0,145487;3,631172;1,76206;4,923983;1,565817;-4,947365;-4,295349;1,772901;-2,414266;-3,237649;-0,334945;-5,035028;4,001717;0,09497762;-4,07581;-2,86385;2,037647;-2,5076;-2,047961;4,115251
Index: 26 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,686986 | BrainData : -2,354241;0,3231027;-1,95834;0,7322596;-3,356351;3,947905;-0,145487;3,593637;1,770287;4,899624;1,519913;-4,991098;-4,295349;1,796428;-2,366596;-3,237649;-0,2946405;-5,016137;4,004665;0,08746347;-4,07581;-2,860122;2,024238;-2,5076;-2,073861;4,138568
Index: 27 | Name: car 34 | Brain Type: TOP2 | Fitness: 1,657265 | BrainData : -2,320316;0,3314106;-1,955902;0,6967881;-3,366727;3,947905;-0,1375694;3,631172;1,795715;4,91782;1,519913;-4,958066;-4,275923;1,796428;-2,366596;-3,237846;-0,2946405;-5,016137;3,969522;0,09497762;-4,101198;-2,830372;2,003591;-2,537179;-2,097865;4,138568
Index: 28 | Name: car 8 | Brain Type: RandomParents | Fitness: 1,652182 | BrainData : -2,323361;0,3417751;-1,940883;0,6967881;-3,249135;3,938811;-0,1723693;3,643579;1,7945;4,943823;1,528361;-4,981711;-4,269153;1,757494;-2,334098;-3,257668;-0,2946405;-5,036086;4,020515;0,0613459;-4,074045;-2,888832;2,003591;-2,552637;-2,107852;4,129873
Index: 29 | Name: car 33 | Brain Type: TOP2 | Fitness: 1,392253 | BrainData : -2,354241;0,3231027;-1,977124;0,7326141;-3,325024;3,947905;-0,09854317;3,631172;1,814504;4,923983;1,519913;-5,002344;-4,295349;1,818111;-2,366596;-3,237649;-0,2946405;-5,008048;4,004665;0,08827278;-4,07581;-2,86385;2,052458;-2,5076;-2,070898;4,135583
Index: 30 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,305976 | BrainData : -2,3547;0,3520231;-1,94971;0,7434798;-3,298512;3,911431;-0,145487;3,664887;1,795715;4,938216;1,493841;-5,031521;-4,295349;1,808973;-2,375695;-3,299096;-0,2946405;-5,048188;4,004665;0,1091997;-4,099774;-2,846272;1,983603;-2,518596;-2,043888;4,198066
Index: 31 | Name: car 40 | Brain Type: TOP2 | Fitness: 1,205255 | BrainData : -2,350582;0,3231027;-1,911984;0,6950828;-3,325024;3,928005;-0,145487;3,588325;1,795715;4,923983;1,519913;-4,99422;-4,288723;1,796428;-2,366596;-3,237649;-0,2946405;-5,016137;3,956896;0,1030142;-4,07581;-2,86385;2,003591;-2,536156;-2,103662;4,089403
Index: 32 | Name: car 2 | Brain Type: RandomParents | Fitness: 1,176376 | BrainData : -2,333052;0,3510439;-1,990256;0,6236339;-3,28781;3,921051;-0,1206907;3,637369;1,82735;4,890415;1,527306;-4,991098;-4,295349;1,796428;-2,418077;-3,257668;-0,2538011;-5,010767;4,004665;0,09497762;-4,089734;-2,821006;2,051638;-2,526378;-2,077155;4,122345
Index: 33 | Name: car 13 | Brain Type: RandomParents | Fitness: 1,051201 | BrainData : -2,359748;0,3564339;-1,961065;0,6958218;-3,33346;3,934906;-0,1406106;3,639881;1,748051;4,87005;1,536972;-4,958657;-4,263834;1,758618;-2,35383;-3,241133;-0,2185919;-5,016137;4,026086;0,08399034;-4,047996;-2,881565;1,868146;-2,566384;-2,114938;4,186574
