Generation: 659 | maxFitness: 3,670536 | maxFitnessGen: 2,047563 | maxFitnessGenBuf: 2,074105
N TotallyRandom: 10 | N RandomParents: 15 | N Top2: 25 | Min Mutation: 0,5

Index: 23 | Name: car 7 | Brain Type: RandomParents | Fitness: 1,780115 | BrainData : -2,363124;0,2546664;-2,003059;0,5772747;-3,465964;3,825044;-0,09699093;3,562613;1,755178;4,89375;1,552697;-4,857787;-4,514368;1,939757;-2,304084;-3,307374;-0,1493305;-5,193473;4,132308;0,02808167;-3,898978;-3,048422;2,014086;-2,60198;-2,090307;4,293669
Index: 24 | Name: car 9 | Brain Type: RandomParents | Fitness: 1,765931 | BrainData : -2,354723;0,1926171;-2,049488;0,532458;-3,556187;3,828067;-0,1447323;3,501592;1,835126;4,909387;1,552925;-4,953676;-4,50013;1,934968;-2,31108;-3,279658;-0,08599124;-5,153187;4,124452;-0,008310413;-3,862013;-3,091466;2,039362;-2,689272;-2,125167;4,255239
Index: 25 | Name: car 38 | Brain Type: TOP2 | Fitness: 1,741766 | BrainData : -2,369861;0,2399676;-1,964351;0,6025544;-3,410054;3,885153;-0,1623083;3,482672;1,803854;4,9577;1,59546;-4,903983;-4,549501;1,888888;-2,325291;-3,372049;-0,1014041;-5,129068;4,087084;0,02949405;-3,916274;-3,078127;1,989175;-2,600628;-2,11399;4,312723
Index: 26 | Name: car 49 | Brain Type: TOP2 | Fitness: 1,740763 | BrainData : -2,39744;0,2419478;-1,964351;0,5731331;-3,435478;3,942437;-0,2105214;3,52313;1,8411;4,9577;1,57371;-4,862769;-4,549501;1,884515;-2,377004;-3,372049;-0,1029243;-5,139166;4,087084;-0,01153313;-3,921548;-3,078127;2,032359;-2,632184;-2,063994;4,293745
Index: 27 | Name: car 44 | Brain Type: TOP2 | Fitness: 1,737393 | BrainData : -2,39744;0,2203293;-1,964351;0,5702502;-3,400698;3,911985;-0,1623083;3,491956;1,8411;4,91963;1,59546;-4,867708;-4,549501;1,884515;-2,334685;-3,372049;-0,10986;-5,153187;4,087084;0,02038229;-3,916274;-3,078127;2,032359;-2,603676;-2,144242;4,293745
Index: 28 | Name: car 12 | Brain Type: RandomParents | Fitness: 1,737066 | BrainData : -2,40032;0,1622703;-1,96111;0,5315831;-3,56186;3,828067;-0,1455935;3,523632;1,863472;4,885466;1,506056;-4,940259;-4,44603;1,900129;-2,31108;-3,260313;-0,08152283;-5,153187;4,098597;-0,005375003;-3,907328;-3,07914;2,050478;-2,624107;-2,155617;4,348524
Index: 29 | Name: car 45 | Brain Type: TOP2 | Fitness: 1,671487 | BrainData : -2,368773;0,2399676;-1,964351;0,6025544;-3,428858;3,916231;-0,1623083;3,57149;1,8411;4,9577;1,59546;-4,910807;-4,549501;1,884515;-2,334685;-3,409623;-0,1014041;-5,17189;4,087084;0,03313095;-3,916274;-3,078127;2,072475;-2,603676;-2,11399;4,293745
Index: 30 | Name: car 48 | Brain Type: TOP2 | Fitness: 1,667435 | BrainData : -2,39744;0,1955862;-1,931712;0,577297;-3,392488;3,898286;-0,1440521;3,518815;1,8411;4,944154;1,557228;-4,851013;-4,583465;1,884515;-2,369772;-3,372049;-0,1014041;-5,179335;4,071334;0,0008896291;-3,916274;-3,1142;2,032359;-2,603676;-2,156777;4,293745
Index: 31 | Name: car 14 | Brain Type: RandomParents | Fitness: 1,513002 | BrainData : -2,317793;0,2760826;-1,964351;0,6027862;-3,468631;3,826058;-0,1650999;3,518081;1,798057;4,936969;1,609238;-4,940569;-4,454199;1,929012;-2,280823;-3,305448;-0,108745;-5,131927;4,083082;0,008201081;-3,894774;-3,034599;2,080712;-2,628031;-2,090676;4,248841
Index: 32 | Name: car 3 | Brain Type: RandomParents | Fitness: 1,342416 | BrainData : -2,354723;0,1315317;-2,037295;0,5443693;-3,529831;3,823444;-0,1341663;3,619928;1,845893;4,897046;1,555384;-4,858258;-4,457591;1,929012;-2,31108;-3,298587;-0,02938996;-5,148302;4,091861;-0,04150502;-3,866355;-3,068065;2,035286;-2,628107;-2,078718;4,351764
