Generation: 527 | maxFitness: 3,045833 | maxFitnessGen: 2,717171 | maxFitnessGenBuf: 2,796465

Index: 28 : -0,6812339;4,643945;-2,36531;4,254286;-3,728477;4,643945;-2,36531;4,254286;-3,728477;4,643945;-2,36531;4,254286;-3,728477;4,643945;-2,405123;4,254286;-3,728477;4,643945;-2,405123;4,237772;0;0;0;0;0;-0,04532603 | Fitness: 1,613574
Index: 29 : 2,333523;1,48769;-4,565726;1,457196;3,469064;1,48769;-4,565726;1,457196;3,469064;1,455796;-4,565726;1,457196;3,469064;1,455796;-4,545082;1,457196;3,469064;1,455796;-4,545082;1,457196;0;0;0;0;-0,03759808;0 | Fitness: 1,611068
Index: 30 : 2,333523;1,490417;-4,604879;1,457196;3,470658;1,490417;-4,604879;1,457196;3,470658;1,520518;-4,604879;1,457196;3,470658;1,520518;-4,579666;1,457196;3,470658;1,520518;-4,579666;1,442145;0;0;0;0;-0,04098661;-0,03283194 | Fitness: 1,609506
Index: 31 : 2,276801;1,580414;-4,509005;1,399676;3,383252;1,580414;-4,509005;1,399676;3,383252;1,583059;-4,509005;1,399676;3,383252;1,583059;-4,552141;1,399676;3,383252;1,583059;-4,552141;1,432911;0;0;0;0;-0,04372949;0 | Fitness: 1,60843
Index: 32 : 2,643678;2,980118;-1,022921;-0,3508357;3,991124;2,980118;-1,022921;-0,3508357;3,991124;2,953308;-1,022921;-0,3508357;3,991124;2,953308;-1,050758;-0,3508357;3,991124;2,953308;-1,050758;-0,3201225;0;0;0;0;-0,02491098;0 | Fitness: 1,604628
Index: 33 : 2,269833;1,605422;-4,462711;1,526832;3,34115;1,605422;-4,462711;1,526832;3,34115;1,570053;-4,462711;1,526832;3,34115;1,570053;-4,462711;1,526832;3,34115;1,570053;-4,462711;1,479701;0;0;0;0;-0,01936859;0,0110332 | Fitness: 1,588343
Index: 34 : 2,333523;1,520518;-4,605324;1,434766;3,469614;1,520518;-4,605324;1,434766;3,469614;1,520518;-4,605324;1,434766;3,469614;1,520518;-4,61399;1,434766;3,469614;1,520518;-4,61399;1,457196;0;0;0;0;-0,02886936;-0,03283194 | Fitness: 1,578568
Index: 35 : 2,200228;1,569688;-4,49857;1,411456;3,334293;1,569688;-4,49857;1,411456;3,334293;1,565531;-4,49857;1,411456;3,334293;1,565531;-4,496788;1,411456;3,334293;1,565531;-4,496788;1,401197;0;0;0;0;-0,00954438;0,005441956 | Fitness: 1,560054
Index: 36 : 2,23499;1,607047;-4,462711;1,479701;3,34115;1,607047;-4,462711;1,479701;3,34115;1,607047;-4,462711;1,479701;3,34115;1,607047;-4,462711;1,479701;3,34115;1,607047;-4,462711;1,504883;0;0;0;0;0;-0,04754258 | Fitness: 1,557531
Index: 37 : -1,524226;3,240691;-3,764726;-2,065937;-4,309284;3,240691;-3,764726;-2,065937;-4,309284;3,273804;-3,764726;-2,0
