Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,06578106
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
31|TOP2|0,007645903|-0,947587;3,288372;-3,539204;-1,910692;-4,530044;3,912286;3,49517;-0,517519;4,975677;3,163441;-4,862665;3,438084;0,6258922;4,728083;3,589628;-3,638451;-1,594252;3,855968;-3,831683;0,6516199;4,950596;2,847588;3,327418;-4,197474;4,746632;2,79042;1,512332;-4,573403;-1,064958
32|RandomParents|0,007213587|-0,04958677;-3,4503;-3,968626;4,230058;-1,428945;-4,075545;-2,656727;-2,270322;4,615246;-0,7856269;1,674923;-2,664845;-3,736268;4,470432;-3,624459;-2,706335;-4,069374;0,08747387;-4,711986;-0,1398153;-3,775095;2,355777;-3,485614;-3,063355;3,879702;-3,144393;2,453005;-4,416008;4,574357
33|TOP2|0,006701063|-2,093544;-2,791201;4,330627;-1,495189;-2,083796;0,5317931;-3,731345;-0,3091283;1,632857;-3,972077;-1,31063;-0,997632;-3,85662;-4,442067;4,873383;-2,784832;0,8594303;-4,826618;-2,138277;3,039466;0,2047749;-4,732375;0,4281979;-0,8578033;-0,4228897;-2,745442;-0,5087204;1,026474;-3,190842
34|TOP2|0,006363455|2,123774;-0,1580315;-2,088924;-3,775343;-3,135545;-0,5771489;3,058038;4,044701;3,396631;4,553069;-4,208697;3,504142;-3,517042;-3,911804;3,93452;-0,5194659;-1,283075;-3,202199;2,396868;-1,358133;0,5599408;0,4761653;-1,821602;-1,38588;0,5719752;-4,18881;1,309036;1,577117;-2,461246
35|TOP2|0,005857687|1,779188;-0,1110368;1,982956;4,300625;-3,876157;-0,9521098;4,358501;0,3610272;0,4517298;-1,937974;-2,261397;4,662941;3,644043;-2,231687;-0,4782848;0,6592422;1,269078;2,43599;4,127297;3,93442;-4,104205;4,789011;-1,120119;2,418771;-1,982874;-1,51804;-3,591694;-0,7468324;3,532284
36|TOP2|0,005770065|-3,956568;-1,935452;-0,1748662;-4,537229;0,1209207;0,7256551;0,2846937;0,5915742;1,582701;-3,514082;3,388307;0,08063841;-4,213913;-1,526363;3,731614;3,72075;-4,059201;3,659889;-4,340456;-2,767675;-0,8271451;-4,372106;0,8436556;3,964423;2,311149;-0,6587796;0,4165192;-2,376801;3,189752
37|TotallyRandom|0,005503505|2,292066;-3,918186;-3,078361;-0,8884506;-3,975348;-4,163671;1,007688;0,1876707;3,133088;4,513452;4,741727;1,230612;3,969324;-3,232567;-4,660814;0,3085022;-0,1115079;1,468171;0,3084011;-3,836582;0,9075122;-0,7353778;-0,6523447;1,845415;0,3647642;-4,922031;-3,626157;-2,643457;-2,64243
38|TotallyRandom|0,005489387|-3,390265;1,844439;3,091423;4,745495;-3,773285;-4,090469;-0,5849023;2,853045;-2,438666;2,62187;1,750194;-0,2066736;1,550215;3,747513;4,975048;2,034916;-3,609204;2,530512;-3,536043;-1,127735;-0,4402514;0,8138247;-3,586393;0,2516408;-1,007526;-3,764339;-2,262257;-1,023877;-3,870512
39|TOP2|0,005355183|4,894788;-3,553307;-1,720004;0,7540054;-2,018712;2,701139;3,389064;4,674568;3,805332;-1,211421;2,561359;-4,199677;4,285765;-3,166924;-1,256327;0,1846094;-0,3200369;-4,038839;-1,162875;3,714531;4,803092;3,99716;0,2841978;-0,06421041;-0,2122312;-1,481206;-1,301575;-0,507874;-0,8354502
40|TOP2|0,005350679|2,679301;4,597554;0,9762163;-1,106048;1,358969;4,490609;-1,487113;-1,791931;-0,6622796;2,093477;-2,299718;3,395615;-4,630217;0,2651458;-1,244541;2,668301;2,741792;-0,8158832;-0,3270359;4,828308;1,724129;1,252593;-4,059025;-0,0933795;-0,7155614;-4,790354;2,473391;3,872497;-0,9274478
41|RandomParents|0,005242791|-3,202336;-1,94572;-0,3731327;-4,804025;-1,348401;0,386178;3,193637;3,421917;2,646997;4,971127;-3,73796;-0,4728289;3,068184;-2,088151;1,242461;1,065514;-0,6682544;1,696301;-4,044389;-1,794856;1,463725;-2,987158;1,245769;-1,152642;-3,937725;4,297632;-4,815207;2,441182;2,706888
42|TOP2|0,005049987|1,948857;-1,846263;-4,593206;-1,271964;-4,131722;4,998884;1,827811;4,61601;-1,712153;-0,4491277;3,859768;-1,216304;1,408102;4,831018;4,339676;2,751768;-4,861759;2,633124;0,5785208;0,6277661;-3,694252;2,324313;0,3240676;-4,69713;4,974908;-3,474764;-4,915876;0,9408693;-1,745641
43|TOP2|0,004941389|-2,059446;1,031627;2,071171;0,4764123;-4,78292;-4,647528;3,934193;-1,081085;4,580028;-0,01352739;-2,995138;4,817452;-2,317321;-1,65935;4,40547;-4,08713;-4,916209;1,315803;-2,690864;4,339348;3,768524;-0,5498118;-0,0192256;-1,685527;-3,495262;-2,516531;-1,910275;0,8584638;0,1736159
44|TOP2|0,004842407|-2,667657;4,910331;-2,363348;1,258488;-0,1616483;-3,3184;-2,470731;3,047758;-4,576921;1,049115;-0,5797915;3,494658;-2,991596;-4,943906;1,188592;1,765692;2,926128;-3,749779;2,00838;3,063225;4,108551;2,60537;-1,746001;4,608461;3,390583;-1,641337;-0,9005923;-4,297324;-4,783367
45|TOP2|0,004807008|-0,9659843;-0,2801247;-4,410821;-1,676965;-0,8376379;4,289099;-0,7825847;2,552447;3,814229;3,85679;-1,128355;4,426369;-0,3909106;-3,114138;4,511644;1,053865;-2,549088;-0,6136899;-0,1855512;-2,367611;1,827808;-0,5892091;-3,921796;4,4698;-3,786845;-3,4533;0,8207912;-0,9351869;-4,417168
46|RandomParents|0,004797596|0,149004;1,870459;-1,127812;3,115389;-2,569548;3,272158;-1,501883;-0,7032185;1,834991;2,058963;-4,267891;-4,966784;0,4882879;4,216022;-1,904332;0,7218666;-4,577816;-1,997861;0,7682986;-4,288849;-1,185491;3,848344;-2,099803;-2,360662;0,8388882;-3,987185;-2,481164;-1,257329;-0
