Generation: 1 | maxFitness: 0,2269851 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2269851
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
28|TOP2|0,01483007|-2,319624;2,784717;-0,3439217;-1,145564;0,1364036;0,6428032;4,225399;0,957479;-1,587682;0,9127874;1,929951;-3,006305;-2,506422;0,2692051;-2,674374;3,73851;1,04111;3,311797;2,505406;-4,950401;4,53107;2,025969;-3,733083;4,917246;3,382174;3,57888;-3,709579;4,216151;2,342745
29|TOP2|0,01482846|0,5486412;1,728177;0,7011752;3,693162;-4,110529;-2,438057;-0,6358643;0,363719;-3,105526;4,206352;2,602165;-1,11479;4,191956;-4,243579;4,476358;-1,55854;0,05914497;-3,068471;1,059772;-1,515891;-3,207226;2,990434;-4,10584;3,745495;1,775479;0,4105802;3,564225;0,3848414;-1,084795
30|TOP2|0,01482212|-1,860302;1,640857;-0,4374571;-2,379764;2,837353;2,980007;0,7375522;0,2558727;-4,690171;-2,457716;4,434138;3,2227;-3,576969;1,944757;1,60475;4,052361;-1,923966;-0,7334094;-1,548814;1,785339;2,275175;-1,477386;-0,6416578;-1,28272;1,408597;-4,206152;2,375761;0,4673691;-2,57827
31|TOP2|0,01481977|0,1465936;-2,416541;0,14463;1,62289;2,01141;2,762587;-3,932562;4,256327;-1,031554;0,00327301;0,5222435;1,207101;-0,5156999;-0,2176743;-1,370116;1,255828;-4,190698;0,414093;1,442142;-4,617756;1,325316;-0,2890258;0,4819007;-4,397121;1,15577;4,803447;1,48086;-1,650126;-2,588166
32|TOP2|0,01481952|-1,222508;0,02101135;-2,679498;-3,364578;4,639627;4,701509;3,997295;-0,2318292;-1,041165;4,310432;2,797707;3,640421;-1,440536;2,798878;1,893862;-2,2817;0,5242581;2,734115;0,7606916;1,097465;2,157854;4,611736;-3,358248;-1,992589;-0,09177399;-4,87142;1,311074;3,911484;-1,7168
33|TOP2|0,01481906|3,015862;-2,577221;4,323256;-0,3146963;-1,079216;-0,1228638;-3,199243;-0,7432337;-3,357384;4,492999;-2,804825;-2,055368;-0,8171825;-3,062335;1,306587;1,3318;1,549057;-4,877378;1,918312;0,9286957;3,177909;2,388618;-2,519535;4,365379;3,842829;1,758965;-0,8178048;2,860894;0,2410693
34|TOP2|0,01481839|-3,696415;1,973086;0,5308537;4,647999;4,4178;1,836267;-1,526609;-1,338599;-0,9122472;-3,031126;3,196474;3,635081;3,943647;4,035567;1,629078;-3,598825;-2,858047;2,531459;1,179514;4,561481;2,509522;-4,823133;1,728489;-1,258071;2,27833;0,8285756;1,51897;4,209557;1,343405
35|TOP2|0,01481342|4,086164;1,224227;1,677319;4,528663;2,68844;1,927675;4,582603;-0,02637672;1,085977;1,578789;-0,941072;-3,722258;0,3896432;-4,466738;-2,383435;0,6097155;3,735569;0,6599979;2,324827;-0,548851;-1,613312;2,473801;1,448374;-3,738513;4,866973;0,7593899;4,748835;-0,693162;1,661259
36|TOP2|0,01481306|4,716194;-0,05935717;1,944849;-0,4150658;-2,868469;4,802994;4,77687;1,339996;-0,484107;3,869941;-0,4583769;-1,859768;4,590399;1,780928;-0,6515603;2,569324;0,1977019;2,356509;1,799492;0,7300811;-3,07416;3,535639;-3,658829;4,991311;0,4991527;0,4584928;2,605513;2,99014;-0,113173
37|TOP2|0,01381375|0,6996484;2,657519;4,850576;-3,283056;-0,7274346;-3,045345;0,0509553;-0,1564865;-1,584792;3,717681;-4,774927;4,019409;4,686028;-2,2355;-1,660469;4,301229;2,552383;3,76301;-0,8619637;-0,3971858;-3,718824;-3,895195;1,06134;3,345573;-4,031749;2,815838;2,885204;0,2258782;-3,91827
