Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,3703262
N TotallyRandom: 5 | N RandomParents: 10 | N Top2: 25 | Min Mutation: 0,2

Index: 23 | Name: car 13 | Brain Type: TotallyRandom | Fitness: 0,2268712 | BrainData : 4,718331;-1,409975;2,245506;-4,552058;4,391448;-0,4568009;4,364688;3,991686;3,544998;3,818586;1,203405;3,516303;-2,116824;-3,031554;2,010821;1,155146;2,797498;0,5261021;1,307099;-4,095055;-0,5844836;-3,811096;-3,623191;1,059828;-3,97228;1,259401
Index: 24 | Name: car 17 | Brain Type: TOP2 | Fitness: 0,2066024 | BrainData : -3,675523;1,75586;4,401955;0,9382825;1,968793;3,122814;-0,8053632;3,780299;-2,155787;3,368088;-2,838894;-0,8961744;-2,939383;-3,970304;1,740333;-3,425981;-0,9363647;2,336721;3,761619;-4,503488;1,433147;1,453098;-1,252124;-3,08074;-0,4347138;-2,017543
Index: 25 | Name: car 20 | Brain Type: TOP2 | Fitness: 0,2035987 | BrainData : 2,165794;4,795094;3,865309;-2,899612;1,888875;1,45532;1,891118;-2,023097;-2,332358;-2,257159;-3,593613;-2,731219;-0,5859022;3,225335;-3,174506;-3,168225;1,653471;2,359897;-4,814194;-4,694611;1,350065;-1,22391;1,899923;0,6790824;-1,35801;1,669539
Index: 26 | Name: car 4 | Brain Type: RandomParents | Fitness: 0,1993322 | BrainData : -0,8631258;-3,516041;-1,300668;1,299995;-3,064498;-3,927881;-0,2057152;0,917881;3,347288;0,8427544;0,4456396;-3,170864;-3,794638;-4,934768;3,252201;-3,791265;-3,628231;-4,088496;2,846663;-1,24477;3,171358;0,3748326;-4,638849;1,268533;0,06884384;-4,738705
Index: 27 | Name: car 32 | Brain Type: TOP2 | Fitness: 0,1985533 | BrainData : -0,8521633;-1,418744;-1,440387;-0,6672626;3,162151;-3,597946;-1,480165;-4,986444;-1,009541;-0,9031529;4,199738;-3,156644;1,738118;0,8091025;-1,251667;-1,570457;3,128282;3,778536;3,566237;1,772083;0,3247766;1,470479;-0,980125;-0,3257318;-1,63521;-1,651273
Index: 28 | Name: car 26 | Brain Type: TOP2 | Fitness: 0,1916774 | BrainData : 2,019237;-0,7852383;-3,044764;1,494799;-4,689655;-3,300903;4,63982;2,021087;-2,605684;-0,5338435;-4,737434;0,8461385;-1,402665;-3,159748;2,431673;3,55743;3,084283;-0,4851694;2,975079;4,280705;1,911938;-2,788168;0,6824141;-1,358525;-3,848154;3,312812
Index: 29 | Name: car 7 | Brain Type: RandomParents | Fitness: 0,1900028 | BrainData : -2,811216;-4,812292;3,351715;0,07610369;-1,17326;0,7033319;-3,009098;2,839799;0,5819054;1,004261;2,176337;-3,189921;-4,181156;1,383658;-3,660435;2,718706;0,8062382;2,669182;1,313653;-0,6838064;4,41585;2,779729;-3,42711;3,039637;-0,8789973;1,419701
Index: 30 | Name: car 35 | Brain Type: TOP2 | Fitness: 0,1823581 | BrainData : -1,31881;4,542968;-4,566513;3,073475;3,373827;-4,170006;0,0636034;3,838712;-0,5149965;-1,421127;-2,085547;-1,64951;1,12873;2,270612;1,299191;-2,449884;-4,743446;-3,463026;-2,461485;4,92702;1,907719;-3,945585;0,8639627;-0,161212;-4,242668;-4,874955
Index: 31 | Name: car 10 | Brain Type: TotallyRandom | Fitness: 0,1821513 | BrainData : -3,858594;-3,955463;-0,9700246;-0,9112744;-4,810978;-2,044273;4,371704;-3,80839;-1,887548;3,985458;0,2520795;-3,206593;0,1515121;-2,513523;1,398742;-2,439981;-0,9731727;2,827989;-2,011582;-3,181698;4,430036;-3,185044;-1,35595;1,574221;-2,55651;-1,868597
Index: 32 | Name: car 29 | Brain Type: TOP2 | Fitness: 0,1819135 | BrainData : 4,013391;0,7148867;0,1709728;2,165261;-0,5937858;-2,03645;-0,6837063;-0,3878422;1,637678;1,240265;-3,632026;-4,395227;-1,737139;1,621213;-2,153806;3,200889;-3,368423;-3,121594;-4,374603;-4,373512;-3,417078;0,07235098;-1,677778;4,565047;-3,031107;-3,896526
Index: 33 | Name: car 28 | Brain Type: TOP2 | Fitness: 0,1814369 | BrainData : -2,781621;-2,507646;-0,533206;-2,687393;-3,854612;3,067802;2,346358;1,038861;-4,889535;0,6155305;-0,05164671;0,6783051;-4,932121;-4,549292;-3,786268;-4,216584;-3,368405;-0,006907463;2,56523;1,89095;0,6418018;-2,26697;4,469238;-0,6371264;-4,133655;1,458607
Index: 34 | Name: car 34 | Brain Type: TOP2 | Fitness: 0,1813165 | BrainData : -2,250641;-4,711733;0,5626078;-4,670158;-3,561931;-1,366169;-2,624217;-0,9449773;-0,07495213;3,867284;-1,167014;-3,76906;-2,482703;-0,3325324;-0,2652721;4,504552;0,4369812;-1,684176;0,5488296;4,14247;-3,802189;4,104759;-1,944754;1,446805;-3,179332;-2,484104
Index: 35 | Name: car 16 | Brain Type: TOP2 | Fitness: 0,1801336 | BrainData : -4,160205;2,630566;2,216402;-4,663972;-3,268606;3,149572;2,167801;-1,54578;4,3959;-2,044898;-4,280215;-3,828633;-1,196789;-0,636981;4,604709;-0,6356974;2,775;-2,212743;1,475603;-1,919972;2,462289;4,533338;4,082634;-3,415617;-2,088495;-2,65962
Index: 36 | Name: car 19 | Brain Type: TOP2 | Fitness: 0,1800348 | BrainData : 0,6256242;3,172959;4,516245;-1,663738;0,720387;0,2689238;-1,695359;2,655296;-1,770167;4,043135;-2,421991;-3,122256;-4,458065;-4,690523;-0,8871098;-3,97778;2,895075;4,043737;-2,806202;2,840461;4,701759;3,446625;-4,654043;3,325169;-2,484321;2,058297
Index: 37 | Name: car 24 | Brain Type: TOP2 | Fitness: 0,1793201 | BrainData : 2,131579;1,498431;3,364996;-1,825916;-4,188799;4,393925;-1,826958;2,841322;3,63923;-4,207935;3,700768;-2,527193;3,869957;2,811514;-2,787098;-4,702223;-4,804424;-2,873273;0,1695924;1,369966;-1,080253;3,991666;2,387762;2,574009;-4,090367;4,322803
Index: 38 | Name: car 27 | Brain Type: TOP2 | Fitness: 0,1791447 | BrainData : -1,727433;4,760114;4,218922;0,7289391;4,875154;-2,106978;2,6263;-0,4650383;3,447714;-4,656067;-2,603382;-4,072867;4,108571;4,904146;1,438608;1,490013;1,889571;-0,1204019;-0,6269007;-2,387648;2,271772;0,5506163;4,192383;-1,571947;-4,845405;-0,1576848
Index: 39 | Name: car 36 | Brain Type: TOP2 | Fitness: 0,1777124 | BrainData : 3,502103;2,103758;-3,815843;-1,722648;3,583636;-2,761416;2,127964;-2,209692;-1,773905;3,704746;3
