Generation: 2 | maxFitness: 0,295056 | maxFitnessGen: 0,2313441 | maxFitnessGenBuf: 0,295056
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
26|RandomParents|0,02029461|-1,966245;-0,2256341;-4,090568;0,04097414;-0,1586619;3,429194;-3,449445;3,33966;0,6566346;-0,1078228;-2,88327;2,008257;-4,655723;0,496357;1,415332;-3,318048;1,076164;-3,639587;-4,220685;2,457072;-1,602846;0,8555902;0,6341673;4,089925;3,873169;2,42799;-2,302217;-3,955982;-2,602524
27|RandomParents|0,02021688|-2,693504;4,929411;0,5853386;3,861137;-3,622594;-0,1821932;3,538648;4,83306;-1,245701;-3,520029;4,443854;3,813181;-1,453909;-1,895037;-3,85611;4,803123;-1,514737;-3,3248;-1,095541;-0,1342522;0,8361406;-0,08683744;0,06617117;0,8964888;0,08796063;-0,4052658;1,218634;0,4478612;-1,485239
28|RandomParents|0,02019113|-2,693504;4,849812;0,9323592;3,510158;-3,811792;-0,1180167;3,482686;4,83306;-1,245701;-3,869544;4,923961;3,961996;-1,468797;-1,895037;-3,793798;4,781219;-2,108649;-3,112495;-1,317756;-0,2580314;1,117699;0,4956856;-0,3845067;0,8970598;-0,1087221;-0,5132203;1,218634;0,5117808;-1,485239
29|RandomParents|0,01875391|-4,821466;-3,419123;-4,966032;-1,170664;3,335003;-0,3570306;-2,816104;-1,979484;1,761716;-1,806135;-1,085758;2,232181;-5,244952;-0,8281236;2,397525;-0,9006804;4,397056;-4,143873;-1,88597;-5,305015;4,726996;-2,098565;-1,79353;-1,990893;0,3607953;-3,276309;3,617552;3,53936;1,524424
30|RandomParents|0,01808149|-5,265703;-3,419123;-4,957887;-1,170664;3,335003;-1,325253;-2,517342;-2,325844;1,859923;-1,801826;-1,085758;2,232181;-4,823294;-0,8281236;2,854076;-0,7915025;4,258294;-4,143873;-2,154088;-4,967443;4,726996;-1,736327;-1,383547;-1,656552;0,2105122;-3,276309;4,006622;3,05577;1,810048
31|RandomParents|0,01776876|-3,301387;4,867649;-3,95516;-0,4446573;-1,620203;-2,849431;-3,281004;3,693774;-0,001664042;2,747398;-1,69984;1,964916;-0,9070463;-0,6268003;-0,2278275;-4,704489;3,614835;-1,785128;-0,5768852;1,41068;1,880752;-2,456682;4,269726;3,501236;2,308717;-3,35441;-1,058522;0,9209208;1,969271
32|RandomParents|0,01772385|-4,821466;-3,579716;-5,188313;-1,170664;3,618225;-0,8522887;-2,549025;-1,979484;1,542124;-1,404649;-1,085758;2,232181;-4,705836;-0,8281236;2,854076;-0,7915025;4,446743;-4,41804;-1,88597;-4,967443;4,726996;-2,564964;-1,79353;-1,990893;0,2105122;-3,276309;3,528187;3,107404;1,995633
33|RandomParents|0,0177151|-3,301387;4,542556;-4,459225;-0,7227374;-1,938695;-2,70615;-3,2296;3,720308;-0,3032133;2,44919;-1,707091;2,170274;-0,7286705;0,2092882;-0,2278275;-4,704489;3,888379;-1,396792;-0,5768852;1,853863;1,880752;-2,751215;4,269726;3,540325;2,460066;-3,35441;-0,5898185;0,9209208;2,021641
34|RandomParents|0,01748307|-4,481325;-1,795797;1,399673;2,844482;-1,24228;3,749281;0,5264468;-4,00424;2,321855;-3,409918;-3,588455;-3,245936;-0,05565919;4,801357;1,941194;-3,489683;-0,06134427;-1,339169;4,172939;-1,699487;3,65379;-0,1177521;2,415027;-1,007609;-3,414203;4,22281;-3,425113;-3,412664;2,110464
35|RandomParents|0,01701587|-4,684986;-1,733741;1,399673;3,083102;-1,24228;3,547278;0,5264468;-4,00424;2,321855;-3,142145;-3,588455;-3,27799;-0,2162714;4,97502;2,74591;-3,427997;-0,3722318;-1,770714;4,172939;-1,671986;3,34024;-0,1177521;1,691959;-1,156008;-3,414203;3,967241;-3,425113;-3,982505;2,517385
36|TotallyRandom|0,01634422|-2,553506;-1,295734;-3,702451;-4,250006;-0,3330808;-3,759274;-3,015003;-1,324024;-1,552131;-4,595304;-4,71815;-2,605262;-2,044535;1,649766;3,463493;-1,160729;-3,533653;1,783669;-4,615276;2,146193;-1,329349;3,020724;-4,366241;-1,412137;3,597303;-0,4609375;-1,650533;0,1180415;3,191616
37|RandomParents|0,01517485|-4,568707;1,988561;-1,575255;-4,478284;-3,500563;0,4356962;-0,3707666;-0,552979;4,821378;-4,717428;2,754714;-0,7039002;2,591398;4,664309;3,076693;4,210644;2,745506;-0,1046843;1,057507;0,6257124;-1,473083;3,848782;3,366948;-4,574047;2,18238;-3,905287;1,787461;4,886885;0,7776834
38|RandomParents|0,0151722|-0,6427486;-3,468827;0,05472039;0,8820457;-3,660802;-3,380867;-2,600406;1,05257;2,833129;3,278862;4,159698;4,048601;-2,908028;0,5027514;0,01229811;-2,90749;2,92065;-3,224603;-1,407632;0,9443595;-3,729923;3,789938;-0,8101804;-0,6110125;3,470006;3,21856;1,67496;2,848581;3,260937
39|RandomParents|0,01508671|-4,238905;1,988561;-1,575255;-5,282383;-3,363694;0,0473496;-0,4634153;-0,7047506;5,231858;-4,717428;3,015726;-0,6407086;2,591398;4,911891;3,336373;4,210644;2,532595;-0,04786652;0,6137567;0,6257124;-1,101291;3,848782;3,366948;-4,574047;2,531423;-3,365713;1,787461;4,082655;1,148913
