Generation: 356 | maxFitness: 2,42142 | maxFitnessGen: 1,630954 | maxFitnessGenBuf: 1,602402
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 24 | Name: car 38 | Brain Type: TOP2 | Fitness: 0,968639 | BrainData : -2,683025;-3,59856;2,101541;-2,976753;2,59756;-2,402833;1,373886;-2,77557;1,638838;0,1374181;-3,986062;-4,828296;2,318743;-3,727976;2,465426;0,6082675;0,06099241;-2,657355;-1,694308;-0,1624423;1,370408;1,242069;-4,612401;-3,441748;-1,389548;3,759067
Index: 25 | Name: car 24 | Brain Type: RandomParents | Fitness: 0,8605015 | BrainData : -2,74835;-3,599177;2,082291;-2,994113;2,657368;-2,419507;1,163993;-2,786006;1,567646;0,1133992;-4,181306;-4,725629;2,462884;-3,750063;2,55863;0,5931134;0,1514847;-2,743585;-1,638265;-0,2537455;1,338208;1,303856;-4,602294;-3,598065;-1,547486;3,950436
Index: 26 | Name: car 28 | Brain Type: TotallyRandom | Fitness: 0,8021135 | BrainData : -3,75666;-0,5980353;-2,003444;3,531297;4,062042;-4,07658;2,017635;0,8421798;2,350047;4,198868;0,8704705;-0,9174247;0,05091476;-1,424832;0,9615822;1,253369;-4,24851;2,084125;0,8448558;-3,083887;4,584555;1,175916;-1,549013;-4,844839;0,4471226;-2,738687
Index: 27 | Name: car 17 | Brain Type: RandomParents | Fitness: 0,763782 | BrainData : -2,701895;-3,634428;2,119593;-3,002677;2,657849;-2,476946;1,188793;-2,728769;1,622316;0,08763812;-4,089756;-4,66957;2,482797;-3,726771;2,513508;0,6040503;0,1749817;-2,822392;-1,822302;-0,1757726;1,350014;1,285598;-4,524712;-3,578506;-1,526701;3,837933
Index: 28 | Name: car 16 | Brain Type: RandomParents | Fitness: 0,7407827 | BrainData : -2,738329;-3,640819;2,154618;-2,954721;2,597772;-2,365726;1,181873;-2,736307;1,61302;0,05820477;-4,097519;-4,702877;2,429102;-3,668018;2,561506;0,5856417;0,1297575;-2,751131;-1,747602;-0,1615855;1,343313;1,18555;-4,485483;-3,6038;-1,43493;3,880232
Index: 29 | Name: car 3 | Brain Type: RandomParents | Fitness: 0,6527908 | BrainData : -3,500595;3,648294;0,5425043;-3,508068;-0,3926535;-4,483901;0,5936409;-4,890824;-0,4642865;-1,00471;-4,281196;-5,013939;2,582155;3,798345;3,999874;-1,962103;1,115222;0,96315;0,0185738;1,07067;-0,5775927;3,955667;-3,769729;-1,465426;-0,4351349;2,054662
Index: 30 | Name: car 13 | Brain Type: RandomParents | Fitness: 0,6292024 | BrainData : -3,546762;3,611181;0,5369735;-3,495104;-0,3763929;-4,521482;0,5511771;-4,865479;-0,4913635;-0,9634376;-4,324473;-4,984431;2,601163;3,804748;3,999874;-1,985917;1,103609;1,003233;0,04349899;1,053541;-0,5545874;3,909463;-3,730799;-1,425536;-0,4351349;2,056158
Index: 31 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,4478344 | BrainData : 1,593462;2,54218;-3,452329;3,504177;1,692972;3,33037;-0,920711;1,131789;-0,6905641;1,838381;1,088578;-0,1851792;4,560088;-2,782104;2,363306;0,3485592;3,742254;4,755988;-0,6161256;-0,9763404;-2,993631;-0,8618717;1,049383;-4,343003;-1,553789;2,70112
Index: 32 | Name: car 20 | Brain Type: RandomParents | Fitness: 0,3835158 | BrainData : -4,911172;1,562464;-1,458815;-4,697326;-1,653326;0,793651;0,09071064;-0,7827442;-1,242692;-2,667518;2,309209;-1,109674;-1,369485;-3,092528;-2,202762;-3,216504;1,039347;2,283237;-1,004003;4,508708;-4,642328;0,4152164;-2,652408;-1,404895;-2,155481;3,784454
Index: 33 | Name: car 5 | Brain Type: RandomParents | Fitness: 0,357045 | BrainData : -2,862401;3,171391;2,511406;-3,263076;2,423595;-0,8024613;1,021507;-3,726785;-2,137021;2,863205;4,829078;-0,03150662;-1,985476;-4,620844;4,403258;2,875087;4,358794;-4,957414;-4,385323;-1,256504;0,760968;-4,397024;-4,006589;1,876779;1,443461;1,065899
