Generation: 329 | maxFitness: 2,42142 | maxFitnessGen: 1,686924 | maxFitnessGenBuf: 1,588142
N TotallyRandom: 10 | N RandomParents: 25 | N Top2: 15 | Min Mutation: 0,5

Index: 28 | Name: car 10 | Brain Type: RandomParents | Fitness: 0,8455158 | BrainData : -2,63408;-3,457315;2,200446;-2,919835;2,700931;-2,492755;1,047428;-2,848927;1,735906;0,1076104;-3,934091;-4,543421;2,520963;-3,787756;2,425056;0,5206769;0,1319196;-2,646271;-1,5392;-0,05030282;1,508665;1,266072;-4,628543;-3,485314;-1,428418;3,804399
Index: 29 | Name: car 23 | Brain Type: RandomParents | Fitness: 0,8454921 | BrainData : -2,689585;-3,574664;2,215775;-2,934256;2,620642;-2,482497;1,051559;-2,79824;1,744761;0,04914103;-3,99469;-4,657721;2,446642;-3,749959;2,52386;0,4634726;0,1302934;-2,611579;-1,523295;-0,1572699;1,48677;1,274161;-4,52158;-3,469951;-1,421414;3,765327
Index: 30 | Name: car 47 | Brain Type: TOP2 | Fitness: 0,8169675 | BrainData : -2,71849;-3,58635;2,232313;-2,943706;2,722566;-2,520811;1,090592;-2,892138;1,71902;0,1097259;-3,923458;-4,705407;2,533875;-3,776347;2,467318;0,568192;0,1777789;-2,744794;-1,620379;-0,1385565;1,459604;1,318993;-4,584583;-3,363753;-1,430472;3,801813
Index: 31 | Name: car 9 | Brain Type: RandomParents | Fitness: 0,7613508 | BrainData : -2,68456;-3,547665;2,200312;-2,943706;2,764983;-2,515399;1,062505;-2,872653;1,723713;0,06171491;-3,873487;-4,622236;2,498701;-3,867134;2,489269;0,4760672;0,1910491;-2,699266;-1,565273;-0,0928019;1,423551;1,403363;-4,529093;-3,398685;-1,421102;3,816881
Index: 32 | Name: car 39 | Brain Type: TOP2 | Fitness: 0,7406303 | BrainData : -2,660536;-3,58635;2,251999;-2,943706;2,742713;-2,487972;1,11563;-2,94127;1,709382;0,1097259;-3,926877;-4,700656;2,499111;-3,776347;2,489269;0,5674366;0,1730219;-2,734698;-1,556021;-0,1388343;1,489241;1,361082;-4,546285;-3,340336;-1,428343;3,858408
Index: 33 | Name: car 16 | Brain Type: RandomParents | Fitness: 0,4782928 | BrainData : -3,196943;3,197819;-1,963091;-4,922701;-0,5699607;-4,477407;2,807074;-0,2800136;-0,3854136;0,5360193;-4,253497;2,872589;-4,243572;-3,619079;3,276916;4,744074;0,006290697;-4,401981;-1,240785;3,99751;-4,644021;-0,8091468;-4,2481;-3,21734;-4,972201;-0,5475978
Index: 34 | Name: car 33 | Brain Type: TotallyRandom | Fitness: 0,4000223 | BrainData : -1,666996;-3,558059;0,5793591;-2,64087;1,004312;-1,540658;-1,811118;-2,97347;-4,437814;4,44971;2,820615;-4,46571;-0,1873226;2,028407;0,6941967;-1,63512;-0,5109363;-0,9984212;-1,030162;4,856033;0,9255414;-1,310344;-3,111683;-0,3495054;3,783443;-1,508157
Index: 35 | Name: car 26 | Brain Type: TotallyRandom | Fitness: 0,3441135 | BrainData : -0,6614952;0,3969913;2,382178;-4,189938;-1,878751;4,488445;1,960145;-3,872659;4,145676;-4,619091;1,059309;3,125352;-2,250416;2,801739;-4,622235;2,44046;-3,707265;-3,119902;3,07068;-0,7816763;-0,02440739;2,145633;-1,67876;1,136871;2,956749;1,807694
Index: 36 | Name: car 50 | Brain Type: RandomParents | Fitness: 0,3387428 | BrainData : -1,907244;0,9569459;2,56261;-2,545726;4,13003;4,616207;3,664335;-4,369314;1,01773;-0,9103971;-1,036338;2,726892;0,09744453;-3,294116;3,689536;0,2110977;-4,064221;-2,030223;1,456431;-2,296923;2,597716;0,8596344;-2,05648;-0,6392937;4,762959;3,101642
Index: 37 | Name: car 34 | Brain Type: TotallyRandom | Fitness: 0,3380717 | BrainData : -4,798527;-2,049232;-1,340189;-3,31327;0,7539053;2,967619;-3,210962;-1,515717;2,7243;-4,106654;2,043402;0,9014888;-2,687312;-2,111241;4,862728;-2,36715;0,6423502;-1,452506;-2,129156;-2,638059;-1,0207;4,960811;-4,396091;1,074478;4,010403;-2,665921
